Section_Number,FIR_Complaint,Offense,Punishment,Cognizable,Bailable,Court
Section 136-55,"To the esteemed officer in charge of the police station, Subject: Filing of FIR regarding harbouring such an officer, soldier, sailor or airman who has deserted. Respected Sir/Madam, I, Sanjay Reddy, wish to lodge a formal complaint regarding harbouring such an officer, soldier, sailor or airman who has deserted that occurred on 02-11-2023, between 5:30 and 8:30 PM, at my flat. an unidentified gang, aged around 40-45 years  engaged in harbouring such an officer, soldier, sailor or airman who has deserted. I have expert testimony as evidence. I seek justice and request that the accused be brought to book under relevant sections of law.","Harbouring such an officer, soldier, sailor or airman who has deserted (variation 10)",2 Years or Fine or Both,Cognizable,Bailable,Any Magistrate
Section 122-47,"To the esteemed officer in charge of the police station, Subject: Filing of FIR regarding collecting arms, etc., with the intention of waging war against the government of india. Respected Sir/Madam, I, Ananya Yadav, wish to lodge a formal complaint regarding collecting arms, etc., with the intention of waging war against the government of india that occurred on 04-08-2023, at approximately 3:15 PM, at the company premises. an unidentified gang, with a scar on the face  engaged in collecting arms, etc., with the intention of waging war against the government of india. I have CCTV footage, documentary proof and recovered stolen items as evidence. I seek justice and request that the accused be brought to book under relevant sections of law.","Collecting arms, etc., with The intention of waging War against the Government of India (variation 2)",Imprisonment for Life or 10 Years + Fine,Cognizable,Non-Bailable,Court of Session
Section 137-7,"To the esteemed officer in charge of the police station, Subject: Filing of FIR regarding deserter concealed on board merchant vessel, through negligence of master or person in charge thereof. Respected Sir/Madam, I, Sneha Patil, wish to lodge a formal complaint regarding deserter concealed on board merchant vessel, through negligence of master or person in charge thereof that occurred on 03-05-2023, during the night, at the bus in Adyar. my former aunt Neha Chopra, driving a white truck  engaged in deserter concealed on board merchant vessel, through negligence of master or person in charge thereof. I have video recordings and documentary proof as evidence. I urge the authorities to register an FIR and take necessary action.","Deserter concealed on board merchant vessel, through negligence of master or person in charge thereof (variation 10)",Fine,Non-Cognizable,Bailable,Any Magistrate
Section 138-48,"To the esteemed officer in charge of the police station, Subject: Filing of FIR regarding abetment of act of insubordination by an officer, soldier, sailor or airman, if the offence be committed in consequence. Respected Sir/Madam, I, Aditya Singh, wish to lodge a formal complaint regarding abetment of act of insubordination by an officer, soldier, sailor or airman, if the offence be committed in consequence that occurred on 14-12-2023, in the afternoon, at the school in Vadodara. my business associate Pari Kumar, of approximately tall height and slim build  committed abetment of act of insubordination by an officer, soldier, sailor or airman, if the offence be committed in consequence. I have photographs as evidence. I request that appropriate legal action be taken against the accused.","Abetment of act of insubordination by an officer, soldier, sailor or airman, if the offence be committed in consequence (variation 8)",6 Months or Fine or Both,Cognizable,Bailable,Any Magistrate
Section 121A-37,"To the esteemed officer in charge of the police station, Subject: Filing of FIR regarding conspiring to commit certain offences against the state. Respected Sir/Madam, I, Kiara Verma, wish to lodge a formal complaint regarding conspiring to commit certain offences against the state that occurred on 16-02-2025, late evening, at the private vehicle in Kolkata. my neighbor Krishna Das, driving a blue scooter  perpetrated conspiring to commit certain offences against the state. I have forensic evidence and digital communications as evidence. I seek justice and request that the accused be brought to book under relevant sections of law.",Conspiring to commit certain offences against the State (variation 7),Imprisonment for Life or 10 Years + Fine,Cognizable,Non-Bailable,Court of Session
Section 122-85,"To the esteemed officer in charge of the police station, Subject: Filing of FIR regarding collecting arms, etc., with the intention of waging war against the government of india. Respected Sir/Madam, I, Vihaan Sharma, wish to lodge a formal complaint regarding collecting arms, etc., with the intention of waging war against the government of india that occurred on 07-06-2023, at approximately 3:15 PM, at the railway station. a group of unknown individuals  carried out collecting arms, etc., with the intention of waging war against the government of india. I have material evidence as evidence. I request a thorough investigation into this matter and appropriate legal proceedings.","Collecting arms, etc., with The intention of waging War against the Government of India (variation 2)",Imprisonment for Life or 10 Years + Fine,Cognizable,Non-Bailable,Court of Session
Section 123-6,"To the esteemed officer in charge of the police station, Subject: Filing of FIR regarding concealing with intent to facilitate a design to wage war. Respected Sir/Madam, I, Neha Malhotra, wish to lodge a formal complaint regarding concealing with intent to facilitate a design to wage war that occurred on 18-03-2025, between 2:00 and 3:00 PM, at the company premises in Indore. my neighbor Aadhya Sharma  engaged in concealing with intent to facilitate a design to wage war. I have documentary proof as evidence. I request that appropriate legal action be taken against the accused.",Concealing with intent to facilitate a design to wage War (variation 8),10 Years + Fine,Cognizable,Non-Bailable,Court of Session
Section 124-41,"To the esteemed officer in charge of the police station, Subject: Filing of FIR regarding assaulting president, governor, etc., with intent to compel or restrain the exercise of any lawful power. Respected Sir/Madam, I, Aarav Desai, wish to lodge a formal complaint regarding assaulting president, governor, etc., with intent to compel or restrain the exercise of any lawful power that occurred on 13-01-2024, late evening, at my workplace. my tenant Nikhil Roy, carrying a blunt object  struck me with a rod, leading to severe abrasion requiring medical attention. I have audio recordings, video recordings and eyewitness testimony as evidence. I request a thorough investigation into this matter and appropriate legal proceedings.","Assaulting President, Governor, etc., with intent to compel or restrain the exercise of any lawful power (variation 8)",7 Years + Fine,Cognizable,Non-Bailable,Court of Session
Section 124A-1,"To the esteemed officer in charge of the police station, Subject: Filing of FIR regarding sedition. Respected Sir/Madam, I, Ayush Malhotra, wish to lodge a formal complaint regarding sedition that occurred on 22-09-2024, late evening, at the public gathering. my business associate Aditya Reddy, driving a orange van  perpetrated sedition. I have digital communications, recovered stolen items and documentary proof as evidence. I request that appropriate legal action be taken against the accused.",Sedition (variation 3),Imprisonment for Life + Fine or 3 Years + Fine or Fine,Cognizable,Non-Bailable,Court of Session
Section 125-30,"To the esteemed officer in charge of the police station, Subject: Filing of FIR regarding waging war against any asiatic power in alliance or at peace with the government of india, or abetting the waging of such war. Respected Sir/Madam, I, Riya Chauhan, wish to lodge a formal complaint regarding waging war against any asiatic power in alliance or at peace with the government of india, or abetting the waging of such war that occurred on 21-10-2023, around 12:30 AM, at the bus stop in Ludhiana. an unknown youth  perpetrated waging war against any asiatic power in alliance or at peace with the government of india, or abetting the waging of such war. I have eyewitness testimony and digital communications as evidence. I request that appropriate legal action be taken against the accused.","Waging war against any Asiatic power in alliance or at peace with the Government of India, or abetting the waging of such war (variation 6)",Imprisonment for Life + Fine or 7 Years + Fine or Fine,Cognizable,Non-Bailable,Court of Session
Section 126-41,"To the esteemed officer in charge of the police station, Subject: Filing of FIR regarding committing depredation on the territories of any power in alliance or at peace with the government of india. Respected Sir/Madam, I, Diya Shah, wish to lodge a formal complaint regarding committing depredation on the territories of any power in alliance or at peace with the government of india that occurred on 03-11-2024, shortly after 3:15 PM, at the metro station near Bank. my neighbor Aadhya Sen, driving a black auto-rickshaw  carried out committing depredation on the territories of any power in alliance or at peace with the government of india. I have call records and digital communications as evidence. I request a thorough investigation into this matter and appropriate legal proceedings.",Committing depredation On the territories of any power in alliance or at peace with the Government of India (variation 7),7 Years + Fine + forfeiture of property,Cognizable,Non-Bailable,Court of Session
Section 140-74,"To the esteemed officer in charge of the police station, Subject: Filing of FIR regarding wearing the dress or carrying any token used by a soldier, sailor or airman with intent that it may be believed that he is such a soldier, sailor or airman. Respected Sir/Madam, I, Kiran Verma, wish to lodge a formal complaint regarding wearing the dress or carrying any token used by a soldier, sailor or airman with intent that it may be believed that he is such a soldier, sailor or airman that occurred on 29-04-2024, early evening, at the railway station. my colleague Aanya Kapoor, driving a purple SUV  carried out wearing the dress or carrying any token used by a soldier, sailor or airman with intent that it may be believed that he is such a soldier, sailor or airman. I have documentary proof, CCTV footage and physical evidence as evidence. I request a thorough investigation into this matter and appropriate legal proceedings.","Wearing the dress or carrying any token used by a soldier, sailor or airman with intent that it may be believed that he is such a soldier, sailor or airman (variation 3)",3 Months or Fine or Both,Cognizable,Bailable,Any Magistrate
Section 153-2,"To the esteemed officer in charge of the police station, Subject: Filing of FIR regarding wantonly giving provocation with intent to cause riot, if rioting be committed. Respected Sir/Madam, I, Priya Patil, wish to lodge a formal complaint regarding wantonly giving provocation with intent to cause riot, if rioting be committed that occurred on 23-10-2024, late evening, at the victim's house. my classmate named Vihaan Khanna, of approximately medium height and muscular build  committed wantonly giving provocation with intent to cause riot, if rioting be committed. I have physical evidence and video recordings as evidence. I seek justice and request that the accused be brought to book under relevant sections of law.","Wantonly giving provocation with intent to cause riot, If rioting be committed (variation 10)",1 Year or Fine or Both,Cognizable,Bailable,Any Magistrate
Section 153A-46,"To the esteemed officer in charge of the police station, Subject: Filing of FIR regarding promoting enmity between classes. Respected Sir/Madam, I, Arjun Sharma, wish to lodge a formal complaint regarding promoting enmity between classes that occurred on 29-09-2023, late evening, at the school in Bhopal. my classmate named Aarav Yadav, carrying a gun  engaged in promoting enmity between classes. I have documentary proof and audio recordings as evidence. I request a thorough investigation into this matter and appropriate legal proceedings.",Promoting enmity between classes (variation 1),3 Years or Fine or Both,Cognizable,Non-Bailable,Magistrate First Class
Section 153AA-50,"To the esteemed officer in charge of the police station, Subject: Filing of FIR regarding promoting enmity between classes. Respected Sir/Madam, I, Neha Sharma, wish to lodge a formal complaint regarding promoting enmity between classes that occurred on 13-04-2023, in the morning, at the public transport. an unidentified individual, of approximately medium height and heavy build  perpetrated promoting enmity between classes. I have video recordings and documentary proof as evidence. I urge the authorities to register an FIR and take necessary action.",Promoting enmity between classes (variation 8),3 Years or Fine or Both,Cognizable,Non-Bailable,Magistrate First Class
Section 153B-42,"To the esteemed officer in charge of the police station, Subject: Filing of FIR regarding imputations, assertions prejudicial to national integration. Respected Sir/Madam, I, Ayush Jain, wish to lodge a formal complaint regarding imputations, assertions prejudicial to national integration that occurred on 29-04-2024, early morning, at the victim's house. a group of unknown individuals, wearing a grey shirt and red pants  carried out imputations, assertions prejudicial to national integration. I have audio recordings as evidence. I request that appropriate legal action be taken against the accused.","Imputations, assertions prejudicial to national integration (variation 1)",3 Years or Fine or Both,Cognizable,Non-Bailable,Magistrate First Class
Section 154-25,"To the esteemed officer in charge of the police station, Subject: Filing of FIR regarding owner or occupier of land non giving information of riot, etc.. Respected Sir/Madam, I, Nikhil Sen, wish to lodge a formal complaint regarding owner or occupier of land non giving information of riot, etc. that occurred on 26-08-2024, late evening, at the university grounds near IT Park. my acquaintance Raj Chauhan, with a mustache  committed owner or occupier of land non giving information of riot, etc.. I have documentary proof, audio recordings and forensic evidence as evidence. I seek justice and request that the accused be brought to book under relevant sections of law.","Owner or occupier of land non giving information of riot, etc. (variation 2)",Fine,Non-Cognizable,Bailable,Any Magistrate
Section 155-88,"To the esteemed officer in charge of the police station, Subject: Filing of FIR regarding person for whose benefit or on whose behalf a riot takes place not using all lawful means to prevent it. Respected Sir/Madam, I, Priya Dutta, wish to lodge a formal complaint regarding person for whose benefit or on whose behalf a riot takes place not using all lawful means to prevent it that occurred on 29-09-2023, at approximately 10:15 AM, at the cinema hall near Railway Station. an unidentified gang, with a scar on the face  perpetrated person for whose benefit or on whose behalf a riot takes place not using all lawful means to prevent it. I have digital communications as evidence. I request a thorough investigation into this matter and appropriate legal proceedings.",Person for whose benefit or on whose behalf a riot takes place not using all lawful means to prevent it (variation 8),Fine,Non-Cognizable,Bailable,Any Magistrate
Section 156-24,"To the esteemed officer in charge of the police station, Subject: Filing of FIR regarding agent of owner or occupier for whose benefit a riot is committed not using all lawful means to prevent it. Respected Sir/Madam, I, Nikhil Mehta, wish to lodge a formal complaint regarding agent of owner or occupier for whose benefit a riot is committed not using all lawful means to prevent it that occurred on 13-08-2023, early evening, at the laboratory in Bangalore. my acquaintance Dhruv Reddy  carried out agent of owner or occupier for whose benefit a riot is committed not using all lawful means to prevent it. I have recovered stolen items and CCTV footage as evidence. I urge the authorities to register an FIR and take necessary action.",Agent of owner or occupier for whose benefit a riot is committed not using all lawful means to prevent it (variation 6),Fine,Non-Cognizable,Bailable,Any Magistrate
Section 157-38,"To the esteemed officer in charge of the police station, Subject: Filing of FIR regarding harbouring persons hired for an unlawful assembly. Respected Sir/Madam, I, Anjali Shah, wish to lodge a formal complaint regarding harbouring persons hired for an unlawful assembly that occurred on 12-03-2025, around 7:00 AM, at the ferry in Pune. an unidentified gang, driving a green car  engaged in harbouring persons hired for an unlawful assembly. I have audio recordings and documentary proof as evidence. I urge the authorities to register an FIR and take necessary action.",Harbouring persons hired for an unlawful assembly (variation 4),6 Months or Fine or Both,Cognizable,Bailable,Any Magistrate
Section 158-43,"To the esteemed officer in charge of the police station, Subject: Filing of FIR regarding being hired to take part in an unlawful assembly or riot. Respected Sir/Madam, I, Kabir Patil, wish to lodge a formal complaint regarding being hired to take part in an unlawful assembly or riot that occurred on 25-07-2024, between 7:30 and 8:30 AM, at the business establishment. an unknown youth, carrying a stick  perpetrated being hired to take part in an unlawful assembly or riot. I have eyewitness testimony as evidence. I request that appropriate legal action be taken against the accused.",Being hired to take part in an unlawful assembly or riot (variation 5),6 Months or Fine or Both,Cognizable,Bailable,Any Magistrate
Section 159-50,"To the esteemed officer in charge of the police station, Subject: Filing of FIR regarding the incident. Respected Sir/Madam, I, Krishna Gupta, wish to lodge a formal complaint regarding an incident that occurred on 15-03-2025, shortly after 2:30 PM, at my rented accommodation. my neighbor Vikram Roy, speaking in local dialect  perpetrated the offense. I have recovered stolen items and CCTV footage as evidence. I urge the authorities to register an FIR and take necessary action.",,,,,
Section 145-49,"To the esteemed officer in charge of the police station, Subject: Filing of FIR regarding joining or continuing in an unlawful assembly, knowing that it has been commanded to disperse. Respected Sir/Madam, I, Anita Bose, wish to lodge a formal complaint regarding joining or continuing in an unlawful assembly, knowing that it has been commanded to disperse that occurred on 22-07-2023, in the morning, at the flight. my former relative Nikhil Desai  carried out joining or continuing in an unlawful assembly, knowing that it has been commanded to disperse. I have recovered stolen items as evidence. I request a thorough investigation into this matter and appropriate legal proceedings.","Joining or continuing in an unlawful assembly, Knowing that it has been commanded to disperse (variation 4)",2 Years or Fine or Both,Cognizable,Bailable,Any Magistrate
Section 160-23,"To the esteemed officer in charge of the police station, Subject: Filing of FIR regarding committing affray. Respected Sir/Madam, I, Anjali Joshi, wish to lodge a formal complaint regarding committing affray that occurred on 06-10-2024, around 3:15 AM, at the private vehicle in Jubilee Hills. an unidentified man, with a tattoo on the arm  engaged in committing affray. I have call records, audio recordings and medical reports as evidence. I seek justice and request that the accused be brought to book under relevant sections of law.",Committing affray (variation 3),1 Month or Fine or Both,Cognizable,Bailable,Any Magistrate
Section 161-93,"To the esteemed officer in charge of the police station, Subject: Filing of FIR regarding being or expecting to be a public servant, and taking a gratification other than legal remuneration in respect of an official act. Respected Sir/Madam, I, Arjun Pillai, wish to lodge a formal complaint regarding being or expecting to be a public servant, and taking a gratification other than legal remuneration in respect of an official act that occurred on 18-06-2023, during the night, at the factory in Bhopal. an unknown youth  perpetrated being or expecting to be a public servant, and taking a gratification other than legal remuneration in respect of an official act. I have photographs, CCTV footage and transaction records as evidence. I urge the authorities to register an FIR and take necessary action.","Being or expecting to be a public servant, and taking A gratification other than Legal remuneration in respect of an official act (variation 8)",3 Years or Fine or Both,Cognizable,Non-Bailable,Magistrate First Class
Section 162-94,"To the esteemed officer in charge of the police station, Subject: Filing of FIR regarding taking a gratification in order, by corrupt or illegal means, to influence a public servant. Respected Sir/Madam, I, Radha Chopra, wish to lodge a formal complaint regarding taking a gratification in order, by corrupt or illegal means, to influence a public servant that occurred on 11-02-2024, just before 8:00 PM, at the auto-rickshaw in Kolkata. an unidentified woman, carrying a sharp object  committed taking a gratification in order, by corrupt or illegal means, to influence a public servant. I have photographs, digital communications and material evidence as evidence. I request a thorough investigation into this matter and appropriate legal proceedings.","Taking a gratification in order, by corrupt or illegal means, to influence a public servant (variation 2)",3 Years or Fine or Both,Cognizable,Non-Bailable,Magistrate First Class
Section 163-60,"To the esteemed officer in charge of the police station, Subject: Filing of FIR regarding taking a gratification for the exercise of personal influence with a public servant. Respected Sir/Madam, I, Nikhil Gupta, wish to lodge a formal complaint regarding taking a gratification for the exercise of personal influence with a public servant that occurred on 12-11-2023, shortly after 11:00 PM, at the factory in Pune. an unidentified woman, wearing a blue shirt and orange pants  committed taking a gratification for the exercise of personal influence with a public servant. I have video recordings and CCTV footage as evidence. I request a thorough investigation into this matter and appropriate legal proceedings.",Taking a gratification for the exercise of personal influence with a public servant (variation 7),Simple Imprisonment for 1 Year or Fine or Both,Cognizable,Non-Bailable,Magistrate First Class
Section 164-40,"To the esteemed officer in charge of the police station, Subject: Filing of FIR regarding abetment by public servant of the offences defined in the last two preceding clauses with reference to himself. Respected Sir/Madam, I, Sneha Chopra, wish to lodge a formal complaint regarding abetment by public servant of the offences defined in the last two preceding clauses with reference to himself that occurred on 17-01-2025, shortly after 4:45 PM, at the train in Dwarka. my tenant Geeta Pillai, speaking in Hindi  committed abetment by public servant of the offences defined in the last two preceding clauses with reference to himself. I have medical reports, CCTV footage and documentary proof as evidence. I request a thorough investigation into this matter and appropriate legal proceedings.",Abetment by public servant of the offences defined in the last two preceding clauses with reference to himself (variation 3),3 Years or Fine or Both,Cognizable,Non-Bailable,Magistrate First Class
Section 165-14,"To the esteemed officer in charge of the police station, Subject: Filing of FIR regarding public servant obtaining any valuable thing, without consideration, from a person concerned in any proceeding or business transacted by such public servant. Respected Sir/Madam, I, Ananya Kapoor, wish to lodge a formal complaint regarding public servant obtaining any valuable thing, without consideration, from a person concerned in any proceeding or business transacted by such public servant that occurred on 14-01-2024, early morning, at my house in Visakhapatnam. an unknown youth, aged around 50-55 years  engaged in public servant obtaining any valuable thing, without consideration, from a person concerned in any proceeding or business transacted by such public servant. I have documentary proof, forensic evidence and expert testimony as evidence. I request a thorough investigation into this matter and appropriate legal proceedings.","Public servant obtaining any valuable thing, without consideration, From a person concerned in any proceeding or business transacted by Such public servant (variation 1)",3 Years or Fine or Both,Cognizable,Non-Bailable,Magistrate First Class
Section 165A-26,"To the esteemed officer in charge of the police station, Subject: Filing of FIR regarding punishment for abetment of offences punishable under section 161 or section 165. Respected Sir/Madam, I, Pooja Khanna, wish to lodge a formal complaint regarding punishment for abetment of offences punishable under section 161 or section 165 that occurred on 29-02-2024, just before 10:15 AM, at the coaching center. my neighbor Vikram Mukherjee  carried out punishment for abetment of offences punishable under section 161 or section 165. I have audio recordings as evidence. I request that appropriate legal action be taken against the accused.",Punishment for abetment of offences punishable under section 161 or section 165 (variation 2),3 Years or Fine or Both,Cognizable,Non-Bailable,Magistrate First Class
Section 166-5,"To the esteemed officer in charge of the police station, Subject: Filing of FIR regarding public servant disobeying a direction of the law with intent to cause injury to any person. Respected Sir/Madam, I, Pari Kapoor, wish to lodge a formal complaint regarding public servant disobeying a direction of the law with intent to cause injury to any person that occurred on 02-01-2024, around 5:00 PM, at the shop in Bangalore. a group of unknown individuals, aged around 35-40 years  attacked me with a stick, resulting in bleeding from my arm. I have eyewitness testimony, material evidence and video recordings as evidence. I request a thorough investigation into this matter and appropriate legal proceedings.",Public servant disobeying a direction of the law with intent to cause injury to any person (variation 10),Simple Imprisonment for 1 Year or Fine or Both,Non-Cognizable,Bailable,Magistrate First Class
Section 166A-70,"To the esteemed officer in charge of the police station, Subject: Filing of FIR regarding the incident. Respected Sir/Madam, I, Aarav Roy, wish to lodge a formal complaint regarding an incident that occurred on 15-03-2024, late morning, at the university grounds in Salt Lake. my neighbor Kabir Jain, driving a green auto-rickshaw  carried out the offense. I have eyewitness testimony and expert testimony as evidence. I urge the authorities to register an FIR and take necessary action.",,,,,
Section 166B-29,"To the esteemed officer in charge of the police station, Subject: Filing of FIR regarding the incident. Respected Sir/Madam, I, Neha Dutta, wish to lodge a formal complaint regarding an incident that occurred on 13-10-2023, shortly after 5:00 PM, at my office near City Mall. a masked person, carrying a blunt object  engaged in the offense. I have eyewitness testimony as evidence. I request a thorough investigation into this matter and appropriate legal proceedings.",,,,,
Section 146-9,"To the esteemed officer in charge of the police station, Subject: Filing of FIR regarding the incident. Respected Sir/Madam, I, Dhruv Khanna, wish to lodge a formal complaint regarding an incident that occurred on 27-07-2023, during the night, at the auto-rickshaw near Bank. my colleague Nikhil Kapoor, carrying a gun  committed the offense. I have transaction records as evidence. I request a thorough investigation into this matter and appropriate legal proceedings.",,,,,
Section 167-20,"To the esteemed officer in charge of the police station, Subject: Filing of FIR regarding public servant framing an incorrect document with intent to cause injury. Respected Sir/Madam, I, Radha Patil, wish to lodge a formal complaint regarding public servant framing an incorrect document with intent to cause injury that occurred on 19-12-2023, in the evening, at the exhibition ground in Kolkata. my business associate Aanya Kumar  assaulted me with a blunt object, causing injuries to my chest. I have recovered stolen items and CCTV footage as evidence. I seek justice and request that the accused be brought to book under relevant sections of law.",Public servant framing an incorrect document with intent to cause injury (variation 2),3 Years or Fine or Both,Cognizable,Bailable,Magistrate First Class
