Section_Number,FIR_Complaint,Offense,Punishment,Cognizable,Bailable,Court
Section 128,I am filing this complaint regarding an incident where public servant voluntarily allowing prisoner of state or war in his custody to escape. The incident happened at workplace. This occurred around afternoon. The accused is my neighbor. I have evidence in the form of video recording.,Public servant voluntarily allowing prisoner of State or war in his custody to escape,Imprisonment for Life or 10 Years + Fine,Cognizable,Non-Bailable,Court of Session
Section 128,"On 15-10-2023, I witnessed/experienced public servant voluntarily allowing prisoner of state or war in his custody to escape. The incident happened at train. This occurred around night. The accused is my neighbor. I have evidence in the form of medical reports.",Public servant voluntarily allowing prisoner of State or war in his custody to escape,Imprisonment for Life or 10 Years + Fine,Cognizable,Non-Bailable,Court of Session
Section 128,I am filing this complaint regarding an incident where public servant voluntarily allowing prisoner of state or war in his custody to escape. The incident happened at bus. This occurred around night. The accused is unknown. I have evidence in the form of medical reports.,Public servant voluntarily allowing prisoner of State or war in his custody to escape,Imprisonment for Life or 10 Years + Fine,Cognizable,Non-Bailable,Court of Session
Section 128,I am filing this complaint regarding an incident where public servant voluntarily allowing prisoner of state or war in his custody to escape. The incident happened at market. This occurred around evening. The accused is my neighbor. I have evidence in the form of witnesses.,Public servant voluntarily allowing prisoner of State or war in his custody to escape,Imprisonment for Life or 10 Years + Fine,Cognizable,Non-Bailable,Court of Session
Section 128,I wish to file an FIR as public servant voluntarily allowing prisoner of state or war in his custody to escape has taken place. The incident happened at workplace. This occurred around evening. The accused is known to me. I have evidence in the form of medical reports.,Public servant voluntarily allowing prisoner of State or war in his custody to escape,Imprisonment for Life or 10 Years + Fine,Cognizable,Non-Bailable,Court of Session
Section 129,I wish to file an FIR as public servant negligently suffering prisoner of state or war in his custody to escape has taken place. The incident happened at shop. This occurred around morning. The accused is unknown. I have evidence in the form of video recording.,Public servant negligently suffering prisoner of State or war in his custody to escape,Simple Imprisonment 3 Years + Fine,Cognizable,Bailable,Magistrate First Class
Section 129,I would like to report that public servant negligently suffering prisoner of state or war in his custody to escape. The incident happened at road. This occurred around evening. The accused is a relative. I have evidence in the form of documents.,Public servant negligently suffering prisoner of State or war in his custody to escape,Simple Imprisonment 3 Years + Fine,Cognizable,Bailable,Magistrate First Class
Section 129,"This is to report that on 30-05-2024, public servant negligently suffering prisoner of state or war in his custody to escape occurred. The incident happened at shop. This occurred around evening. The accused is known to me. I have evidence in the form of witnesses.",Public servant negligently suffering prisoner of State or war in his custody to escape,Simple Imprisonment 3 Years + Fine,Cognizable,Bailable,Magistrate First Class
Section 129,"On 13-07-2023, I witnessed/experienced public servant negligently suffering prisoner of state or war in his custody to escape. The incident happened at road. This occurred around early morning. The accused is a stranger. I have evidence in the form of photographs.",Public servant negligently suffering prisoner of State or war in his custody to escape,Simple Imprisonment 3 Years + Fine,Cognizable,Bailable,Magistrate First Class
Section 129,"This is to report that on 10-03-2025, public servant negligently suffering prisoner of state or war in his custody to escape occurred. The incident happened at shop. This occurred around afternoon. The accused is a colleague. I have evidence in the form of video recording.",Public servant negligently suffering prisoner of State or war in his custody to escape,Simple Imprisonment 3 Years + Fine,Cognizable,Bailable,Magistrate First Class
Section 130,"This is to report that on 06-10-2023, aiding escape of, rescuing or harbouring, such prisoner, or offering any resistance to the recapture of such prisoner occurred. The incident happened at road. This occurred around night. The accused is my neighbor. I have evidence in the form of witnesses.","Aiding escape of, rescuing or harbouring, such prisoner, or offering Any resistance to the recapture of such prisoner",Imprisonment for Life or 10 Years + Fine,Cognizable,Non-Bailable,Court of Session
Section 130,"I would like to report that aiding escape of, rescuing or harbouring, such prisoner, or offering any resistance to the recapture of such prisoner. The incident happened at shop. This occurred around early morning. The accused is a relative. I have evidence in the form of medical reports.","Aiding escape of, rescuing or harbouring, such prisoner, or offering Any resistance to the recapture of such prisoner",Imprisonment for Life or 10 Years + Fine,Cognizable,Non-Bailable,Court of Session
Section 130,"This is to report that on 28-02-2024, aiding escape of, rescuing or harbouring, such prisoner, or offering any resistance to the recapture of such prisoner occurred. The incident happened at public place. This occurred around night. The accused is a stranger. I have evidence in the form of video recording.","Aiding escape of, rescuing or harbouring, such prisoner, or offering Any resistance to the recapture of such prisoner",Imprisonment for Life or 10 Years + Fine,Cognizable,Non-Bailable,Court of Session
Section 130,"I would like to report that aiding escape of, rescuing or harbouring, such prisoner, or offering any resistance to the recapture of such prisoner. The incident happened at home. This occurred around morning. The accused is a relative. I have evidence in the form of photographs.","Aiding escape of, rescuing or harbouring, such prisoner, or offering Any resistance to the recapture of such prisoner",Imprisonment for Life or 10 Years + Fine,Cognizable,Non-Bailable,Court of Session
Section 130,"I would like to report that aiding escape of, rescuing or harbouring, such prisoner, or offering any resistance to the recapture of such prisoner. The incident happened at home. This occurred around morning. The accused is my neighbor. I have evidence in the form of medical reports.","Aiding escape of, rescuing or harbouring, such prisoner, or offering Any resistance to the recapture of such prisoner",Imprisonment for Life or 10 Years + Fine,Cognizable,Non-Bailable,Court of Session
Section 131,"I am filing this complaint regarding an incident where abetting mutiny, or attempting to seduce an officer, soldier sailor or airman from his allegiance or duty. The incident happened at shop. This occurred around evening. The accused is unknown. I have evidence in the form of medical reports.","Abetting mutiny, or attempting to seduce an officer, soldier sailor or airman from his allegiance or duty",Imprisonment for Life or 10 Years + Fine,Cognizable,Non-Bailable,Court of Session
Section 131,"I wish to file an FIR as abetting mutiny, or attempting to seduce an officer, soldier sailor or airman from his allegiance or duty has taken place. The incident happened at bus. This occurred around afternoon. The accused is unknown. I have evidence in the form of documents.","Abetting mutiny, or attempting to seduce an officer, soldier sailor or airman from his allegiance or duty",Imprisonment for Life or 10 Years + Fine,Cognizable,Non-Bailable,Court of Session
Section 131,"I would like to report that abetting mutiny, or attempting to seduce an officer, soldier sailor or airman from his allegiance or duty. The incident happened at public place. This occurred around morning. The accused is a relative. I have evidence in the form of medical reports.","Abetting mutiny, or attempting to seduce an officer, soldier sailor or airman from his allegiance or duty",Imprisonment for Life or 10 Years + Fine,Cognizable,Non-Bailable,Court of Session
Section 131,"This is to report that on 01-06-2023, abetting mutiny, or attempting to seduce an officer, soldier sailor or airman from his allegiance or duty occurred. The incident happened at restaurant. This occurred around afternoon. The accused is a stranger. I have evidence in the form of witnesses.","Abetting mutiny, or attempting to seduce an officer, soldier sailor or airman from his allegiance or duty",Imprisonment for Life or 10 Years + Fine,Cognizable,Non-Bailable,Court of Session
Section 131,"I am filing this complaint regarding an incident where abetting mutiny, or attempting to seduce an officer, soldier sailor or airman from his allegiance or duty. The incident happened at restaurant. This occurred around early morning. The accused is a relative. I have evidence in the form of documents.","Abetting mutiny, or attempting to seduce an officer, soldier sailor or airman from his allegiance or duty",Imprisonment for Life or 10 Years + Fine,Cognizable,Non-Bailable,Court of Session
Section 132,"I am filing this complaint regarding an incident where abetment of mutiny, if mutiny is committed in consequence thereof. The incident happened at shop. This occurred around early morning. The accused is a stranger. I have evidence in the form of medical reports.","Abetment of mutiny, if mutiny is committed in consequence thereof",Death or Imprisonment for Life or 10 Years + Fine,Cognizable,Non-Bailable,Court of Session
Section 132,"I would like to report that abetment of mutiny, if mutiny is committed in consequence thereof. The incident happened at road. This occurred around evening. The accused is unknown. I have evidence in the form of witnesses.","Abetment of mutiny, if mutiny is committed in consequence thereof",Death or Imprisonment for Life or 10 Years + Fine,Cognizable,Non-Bailable,Court of Session
Section 132,"I wish to file an FIR as abetment of mutiny, if mutiny is committed in consequence thereof has taken place. The incident happened at train. This occurred around evening. The accused is my neighbor. I have evidence in the form of video recording.","Abetment of mutiny, if mutiny is committed in consequence thereof",Death or Imprisonment for Life or 10 Years + Fine,Cognizable,Non-Bailable,Court of Session
Section 132,"This is to report that on 09-10-2023, abetment of mutiny, if mutiny is committed in consequence thereof occurred. The incident happened at restaurant. This occurred around early morning. The accused is a stranger. I have evidence in the form of witnesses.","Abetment of mutiny, if mutiny is committed in consequence thereof",Death or Imprisonment for Life or 10 Years + Fine,Cognizable,Non-Bailable,Court of Session
Section 132,"On 20-10-2024, I witnessed/experienced abetment of mutiny, if mutiny is committed in consequence thereof. The incident happened at shop. This occurred around early morning. The accused is known to me. I have evidence in the form of medical reports.","Abetment of mutiny, if mutiny is committed in consequence thereof",Death or Imprisonment for Life or 10 Years + Fine,Cognizable,Non-Bailable,Court of Session
Section 133,"I wish to file an FIR as abetment of an assault by an officer, soldier, sailor or airman on his superior officer, when in the execution of his office has taken place. The incident happened at shop. This occurred around early morning. The accused is known to me. I have evidence in the form of video recording.","Abetment of an assault by An officer, soldier, sailor Or airman on his superior officer, when in the execution of his office",3 Years + Fine,Cognizable,Non-Bailable,Magistrate First Class
Section 133,"I am filing this complaint regarding an incident where abetment of an assault by an officer, soldier, sailor or airman on his superior officer, when in the execution of his office. The incident happened at shop. This occurred around early morning. The accused is a relative. I have evidence in the form of photographs.","Abetment of an assault by An officer, soldier, sailor Or airman on his superior officer, when in the execution of his office",3 Years + Fine,Cognizable,Non-Bailable,Magistrate First Class
Section 133,"On 26-12-2024, I witnessed/experienced abetment of an assault by an officer, soldier, sailor or airman on his superior officer, when in the execution of his office. The incident happened at workplace. This occurred around evening. The accused is a relative. I have evidence in the form of photographs.","Abetment of an assault by An officer, soldier, sailor Or airman on his superior officer, when in the execution of his office",3 Years + Fine,Cognizable,Non-Bailable,Magistrate First Class
Section 133,"I wish to file an FIR as abetment of an assault by an officer, soldier, sailor or airman on his superior officer, when in the execution of his office has taken place. The incident happened at home. This occurred around evening. The accused is unknown. I have evidence in the form of photographs.","Abetment of an assault by An officer, soldier, sailor Or airman on his superior officer, when in the execution of his office",3 Years + Fine,Cognizable,Non-Bailable,Magistrate First Class
Section 133,"I wish to file an FIR as abetment of an assault by an officer, soldier, sailor or airman on his superior officer, when in the execution of his office has taken place. The incident happened at restaurant. This occurred around night. The accused is my neighbor. I have evidence in the form of physical evidence.","Abetment of an assault by An officer, soldier, sailor Or airman on his superior officer, when in the execution of his office",3 Years + Fine,Cognizable,Non-Bailable,Magistrate First Class
Section 134,"On 07-05-2023, I witnessed/experienced abetment of such assault, if the assault is committed. The incident happened at bus. This occurred around night. The accused is my neighbor. I have evidence in the form of video recording.","Abetment of such assault, if the assault is committed",7 Years + Fine,Cognizable,Non-Bailable,Magistrate First Class
Section 134,"I am filing this complaint regarding an incident where abetment of such assault, if the assault is committed. The incident happened at bus. This occurred around morning. The accused is a colleague. I have evidence in the form of physical evidence.","Abetment of such assault, if the assault is committed",7 Years + Fine,Cognizable,Non-Bailable,Magistrate First Class
Section 134,"I wish to file an FIR as abetment of such assault, if the assault is committed has taken place. The incident happened at train. This occurred around afternoon. The accused is unknown. I have evidence in the form of medical reports.","Abetment of such assault, if the assault is committed",7 Years + Fine,Cognizable,Non-Bailable,Magistrate First Class
Section 134,"I would like to report that abetment of such assault, if the assault is committed. The incident happened at train. This occurred around afternoon. The accused is unknown. I have evidence in the form of physical evidence.","Abetment of such assault, if the assault is committed",7 Years + Fine,Cognizable,Non-Bailable,Magistrate First Class
Section 134,"This is to report that on 03-09-2024, abetment of such assault, if the assault is committed occurred. The incident happened at home. This occurred around evening. The accused is a relative. I have evidence in the form of photographs.","Abetment of such assault, if the assault is committed",7 Years + Fine,Cognizable,Non-Bailable,Magistrate First Class
Section 135,"This is to report that on 19-11-2023, abetment of the desertion of an officer, soldier, sailor or airman occurred. The incident happened at bus. This occurred around evening. The accused is a colleague. I have evidence in the form of video recording.","Abetment of the desertion of an officer, soldier, sailor or airman",2 Years or Fine or Both,Cognizable,Bailable,Any Magistrate
Section 135,"I wish to file an FIR as abetment of the desertion of an officer, soldier, sailor or airman has taken place. The incident happened at shop. This occurred around morning. The accused is a colleague. I have evidence in the form of physical evidence.","Abetment of the desertion of an officer, soldier, sailor or airman",2 Years or Fine or Both,Cognizable,Bailable,Any Magistrate
Section 135,"On 12-02-2024, I witnessed/experienced abetment of the desertion of an officer, soldier, sailor or airman. The incident happened at train. This occurred around early morning. The accused is unknown. I have evidence in the form of physical evidence.","Abetment of the desertion of an officer, soldier, sailor or airman",2 Years or Fine or Both,Cognizable,Bailable,Any Magistrate
Section 135,"I would like to report that abetment of the desertion of an officer, soldier, sailor or airman. The incident happened at public place. This occurred around night. The accused is my neighbor. I have evidence in the form of physical evidence.","Abetment of the desertion of an officer, soldier, sailor or airman",2 Years or Fine or Both,Cognizable,Bailable,Any Magistrate
Section 135,"I wish to file an FIR as abetment of the desertion of an officer, soldier, sailor or airman has taken place. The incident happened at road. This occurred around early morning. The accused is my neighbor. I have evidence in the form of photographs.","Abetment of the desertion of an officer, soldier, sailor or airman",2 Years or Fine or Both,Cognizable,Bailable,Any Magistrate
Section 136,"I would like to report that harbouring such an officer, soldier, sailor or airman who has deserted. The incident happened at road. This occurred around morning. The accused is my neighbor. I have evidence in the form of photographs.","Harbouring such an officer, soldier, sailor or airman who has deserted",2 Years or Fine or Both,Cognizable,Bailable,Any Magistrate
Section 136,"This is to report that on 06-11-2024, harbouring such an officer, soldier, sailor or airman who has deserted occurred. The incident happened at restaurant. This occurred around evening. The accused is unknown. I have evidence in the form of physical evidence.","Harbouring such an officer, soldier, sailor or airman who has deserted",2 Years or Fine or Both,Cognizable,Bailable,Any Magistrate
Section 136,"This is to report that on 27-01-2025, harbouring such an officer, soldier, sailor or airman who has deserted occurred. The incident happened at road. This occurred around night. The accused is a relative. I have evidence in the form of photographs.","Harbouring such an officer, soldier, sailor or airman who has deserted",2 Years or Fine or Both,Cognizable,Bailable,Any Magistrate
Section 136,"On 15-05-2023, I witnessed/experienced harbouring such an officer, soldier, sailor or airman who has deserted. The incident happened at workplace. This occurred around early morning. The accused is my neighbor. I have evidence in the form of physical evidence.","Harbouring such an officer, soldier, sailor or airman who has deserted",2 Years or Fine or Both,Cognizable,Bailable,Any Magistrate
Section 136,"On 02-09-2023, I witnessed/experienced harbouring such an officer, soldier, sailor or airman who has deserted. The incident happened at market. This occurred around night. The accused is a relative. I have evidence in the form of video recording.","Harbouring such an officer, soldier, sailor or airman who has deserted",2 Years or Fine or Both,Cognizable,Bailable,Any Magistrate
Section 122,"I am filing this complaint regarding an incident where collecting arms, etc., with the intention of waging war against the government of india. The incident happened at shop. This occurred around evening. The accused is a relative. I have evidence in the form of video recording.","Collecting arms, etc., with The intention of waging War against the Government of India",Imprisonment for Life or 10 Years + Fine,Cognizable,Non-Bailable,Court of Session
Section 122,"I would like to report that collecting arms, etc., with the intention of waging war against the government of india. The incident happened at workplace. This occurred around evening. The accused is a relative. I have evidence in the form of witnesses.","Collecting arms, etc., with The intention of waging War against the Government of India",Imprisonment for Life or 10 Years + Fine,Cognizable,Non-Bailable,Court of Session
Section 122,"I am filing this complaint regarding an incident where collecting arms, etc., with the intention of waging war against the government of india. The incident happened at workplace. This occurred around night. The accused is my neighbor. I have evidence in the form of video recording.","Collecting arms, etc., with The intention of waging War against the Government of India",Imprisonment for Life or 10 Years + Fine,Cognizable,Non-Bailable,Court of Session
Section 122,"On 22-02-2024, I witnessed/experienced collecting arms, etc., with the intention of waging war against the government of india. The incident happened at workplace. This occurred around evening. The accused is my neighbor. I have evidence in the form of documents.","Collecting arms, etc., with The intention of waging War against the Government of India",Imprisonment for Life or 10 Years + Fine,Cognizable,Non-Bailable,Court of Session
Section 122,"I wish to file an FIR as collecting arms, etc., with the intention of waging war against the government of india has taken place. The incident happened at home. This occurred around night. The accused is a stranger. I have evidence in the form of physical evidence.","Collecting arms, etc., with The intention of waging War against the Government of India",Imprisonment for Life or 10 Years + Fine,Cognizable,Non-Bailable,Court of Session
Section 137,"I wish to file an FIR as deserter concealed on board merchant vessel, through negligence of master or person in charge thereof has taken place. The incident happened at bus. This occurred around evening. The accused is known to me. I have evidence in the form of physical evidence.","Deserter concealed on board merchant vessel, through negligence of master or person in charge thereof",Fine,Non-Cognizable,Bailable,Any Magistrate
Section 137,"I am filing this complaint regarding an incident where deserter concealed on board merchant vessel, through negligence of master or person in charge thereof. The incident happened at home. This occurred around night. The accused is known to me. I have evidence in the form of video recording.","Deserter concealed on board merchant vessel, through negligence of master or person in charge thereof",Fine,Non-Cognizable,Bailable,Any Magistrate
Section 137,"This is to report that on 14-10-2024, deserter concealed on board merchant vessel, through negligence of master or person in charge thereof occurred. The incident happened at home. This occurred around evening. The accused is a stranger. I have evidence in the form of video recording.","Deserter concealed on board merchant vessel, through negligence of master or person in charge thereof",Fine,Non-Cognizable,Bailable,Any Magistrate
Section 137,"I would like to report that deserter concealed on board merchant vessel, through negligence of master or person in charge thereof. The incident happened at workplace. This occurred around night. The accused is a colleague. I have evidence in the form of documents.","Deserter concealed on board merchant vessel, through negligence of master or person in charge thereof",Fine,Non-Cognizable,Bailable,Any Magistrate
Section 137,"On 25-04-2023, I witnessed/experienced deserter concealed on board merchant vessel, through negligence of master or person in charge thereof. The incident happened at bus. This occurred around night. The accused is a relative. I have evidence in the form of physical evidence.","Deserter concealed on board merchant vessel, through negligence of master or person in charge thereof",Fine,Non-Cognizable,Bailable,Any Magistrate
Section 138,"On 17-11-2024, I witnessed/experienced abetment of act of insubordination by an officer, soldier, sailor or airman, if the offence be committed in consequence. The incident happened at public place. This occurred around early morning. The accused is my neighbor. I have evidence in the form of documents.","Abetment of act of insubordination by an officer, soldier, sailor or airman, if the offence be committed in consequence",6 Months or Fine or Both,Cognizable,Bailable,Any Magistrate
Section 138,"This is to report that on 10-04-2023, abetment of act of insubordination by an officer, soldier, sailor or airman, if the offence be committed in consequence occurred. The incident happened at public place. This occurred around early morning. The accused is a stranger. I have evidence in the form of physical evidence.","Abetment of act of insubordination by an officer, soldier, sailor or airman, if the offence be committed in consequence",6 Months or Fine or Both,Cognizable,Bailable,Any Magistrate
Section 138,"I would like to report that abetment of act of insubordination by an officer, soldier, sailor or airman, if the offence be committed in consequence. The incident happened at workplace. This occurred around night. The accused is known to me. I have evidence in the form of documents.","Abetment of act of insubordination by an officer, soldier, sailor or airman, if the offence be committed in consequence",6 Months or Fine or Both,Cognizable,Bailable,Any Magistrate
Section 138,"I am filing this complaint regarding an incident where abetment of act of insubordination by an officer, soldier, sailor or airman, if the offence be committed in consequence. The incident happened at road. This occurred around morning. The accused is a relative. I have evidence in the form of witnesses.","Abetment of act of insubordination by an officer, soldier, sailor or airman, if the offence be committed in consequence",6 Months or Fine or Both,Cognizable,Bailable,Any Magistrate
Section 138,"On 17-09-2023, I witnessed/experienced abetment of act of insubordination by an officer, soldier, sailor or airman, if the offence be committed in consequence. The incident happened at shop. This occurred around afternoon. The accused is a relative. I have evidence in the form of medical reports.","Abetment of act of insubordination by an officer, soldier, sailor or airman, if the offence be committed in consequence",6 Months or Fine or Both,Cognizable,Bailable,Any Magistrate
Section 121,I would like to report that conspiring to commit certain offences against the state. The incident happened at home. This occurred around evening. The accused is known to me. I have evidence in the form of witnesses.,Conspiring to commit certain offences against the State,Imprisonment for Life or 10 Years + Fine,Cognizable,Non-Bailable,Court of Session
Section 121,"On 03-09-2023, I witnessed/experienced conspiring to commit certain offences against the state. The incident happened at workplace. This occurred around afternoon. The accused is a relative. I have evidence in the form of photographs.",Conspiring to commit certain offences against the State,Imprisonment for Life or 10 Years + Fine,Cognizable,Non-Bailable,Court of Session
Section 121,"On 07-12-2024, I witnessed/experienced conspiring to commit certain offences against the state. The incident happened at train. This occurred around evening. The accused is my neighbor. I have evidence in the form of documents.",Conspiring to commit certain offences against the State,Imprisonment for Life or 10 Years + Fine,Cognizable,Non-Bailable,Court of Session
Section 121,"On 28-04-2023, I witnessed/experienced conspiring to commit certain offences against the state. The incident happened at workplace. This occurred around early morning. The accused is a relative. I have evidence in the form of witnesses.",Conspiring to commit certain offences against the State,Imprisonment for Life or 10 Years + Fine,Cognizable,Non-Bailable,Court of Session
Section 121,"This is to report that on 01-01-2024, conspiring to commit certain offences against the state occurred. The incident happened at restaurant. This occurred around morning. The accused is a colleague. I have evidence in the form of video recording.",Conspiring to commit certain offences against the State,Imprisonment for Life or 10 Years + Fine,Cognizable,Non-Bailable,Court of Session
Section 122,"I would like to report that collecting arms, etc., with the intention of waging war against the government of india. The incident happened at market. This occurred around early morning. The accused is unknown. I have evidence in the form of documents.","Collecting arms, etc., with The intention of waging War against the Government of India",Imprisonment for Life or 10 Years + Fine,Cognizable,Non-Bailable,Court of Session
Section 122,"I wish to file an FIR as collecting arms, etc., with the intention of waging war against the government of india has taken place. The incident happened at train. This occurred around afternoon. The accused is a relative. I have evidence in the form of video recording.","Collecting arms, etc., with The intention of waging War against the Government of India",Imprisonment for Life or 10 Years + Fine,Cognizable,Non-Bailable,Court of Session
Section 122,"I would like to report that collecting arms, etc., with the intention of waging war against the government of india. The incident happened at home. This occurred around morning. The accused is known to me. I have evidence in the form of documents.","Collecting arms, etc., with The intention of waging War against the Government of India",Imprisonment for Life or 10 Years + Fine,Cognizable,Non-Bailable,Court of Session
Section 122,"This is to report that on 09-01-2025, collecting arms, etc., with the intention of waging war against the government of india occurred. The incident happened at public place. This occurred around afternoon. The accused is a relative. I have evidence in the form of photographs.","Collecting arms, etc., with The intention of waging War against the Government of India",Imprisonment for Life or 10 Years + Fine,Cognizable,Non-Bailable,Court of Session
Section 122,"I wish to file an FIR as collecting arms, etc., with the intention of waging war against the government of india has taken place. The incident happened at home. This occurred around early morning. The accused is a stranger. I have evidence in the form of photographs.","Collecting arms, etc., with The intention of waging War against the Government of India",Imprisonment for Life or 10 Years + Fine,Cognizable,Non-Bailable,Court of Session
Section 123,"This is to report that on 12-10-2024, concealing with intent to facilitate a design to wage war occurred. The incident happened at bus. This occurred around afternoon. The accused is a colleague. I have evidence in the form of video recording.",Concealing with intent to facilitate a design to wage War,10 Years + Fine,Cognizable,Non-Bailable,Court of Session
Section 123,I would like to report that concealing with intent to facilitate a design to wage war. The incident happened at road. This occurred around night. The accused is my neighbor. I have evidence in the form of video recording.,Concealing with intent to facilitate a design to wage War,10 Years + Fine,Cognizable,Non-Bailable,Court of Session
Section 123,I wish to file an FIR as concealing with intent to facilitate a design to wage war has taken place. The incident happened at bus. This occurred around afternoon. The accused is unknown. I have evidence in the form of photographs.,Concealing with intent to facilitate a design to wage War,10 Years + Fine,Cognizable,Non-Bailable,Court of Session
Section 123,"This is to report that on 20-09-2023, concealing with intent to facilitate a design to wage war occurred. The incident happened at shop. This occurred around afternoon. The accused is known to me. I have evidence in the form of video recording.",Concealing with intent to facilitate a design to wage War,10 Years + Fine,Cognizable,Non-Bailable,Court of Session
Section 123,"This is to report that on 16-06-2024, concealing with intent to facilitate a design to wage war occurred. The incident happened at shop. This occurred around evening. The accused is known to me. I have evidence in the form of video recording.",Concealing with intent to facilitate a design to wage War,10 Years + Fine,Cognizable,Non-Bailable,Court of Session
Section 124,"I would like to report that assaulting president, governor, etc., with intent to compel or restrain the exercise of any lawful power. The incident happened at road. This occurred around night. The accused is my neighbor. I have evidence in the form of photographs.","Assaulting President, Governor, etc., with intent to compel or restrain the exercise of any lawful power",7 Years + Fine,Cognizable,Non-Bailable,Court of Session
Section 124,"I am filing this complaint regarding an incident where assaulting president, governor, etc., with intent to compel or restrain the exercise of any lawful power. The incident happened at bus. This occurred around evening. The accused is a stranger. I have evidence in the form of witnesses.","Assaulting President, Governor, etc., with intent to compel or restrain the exercise of any lawful power",7 Years + Fine,Cognizable,Non-Bailable,Court of Session
Section 124,"On 09-01-2024, I witnessed/experienced assaulting president, governor, etc., with intent to compel or restrain the exercise of any lawful power. The incident happened at market. This occurred around morning. The accused is a stranger. I have evidence in the form of medical reports.","Assaulting President, Governor, etc., with intent to compel or restrain the exercise of any lawful power",7 Years + Fine,Cognizable,Non-Bailable,Court of Session
Section 124,"I would like to report that assaulting president, governor, etc., with intent to compel or restrain the exercise of any lawful power. The incident happened at workplace. This occurred around early morning. The accused is unknown. I have evidence in the form of documents.","Assaulting President, Governor, etc., with intent to compel or restrain the exercise of any lawful power",7 Years + Fine,Cognizable,Non-Bailable,Court of Session
Section 124,"I would like to report that assaulting president, governor, etc., with intent to compel or restrain the exercise of any lawful power. The incident happened at market. This occurred around morning. The accused is my neighbor. I have evidence in the form of medical reports.","Assaulting President, Governor, etc., with intent to compel or restrain the exercise of any lawful power",7 Years + Fine,Cognizable,Non-Bailable,Court of Session
