URL,Description,Offense,Punishment,Cognizable,Bailable,Court,Section_Number,Cleaned_Description,Processed_Description,Processed_Offense,FIR_Complaint
https://lawrato.com/indian-kanoon/ipc/section-171C,"Description of IPC Section 171C
According to section 171C of Indian penal code,
Whoever voluntarily interferes or attempts to interfere with the free exercise of any electoral right commits the offence of undue influence at an election.
Without prejudice to the generality of the provisions of sub-section (1), whoever
threatens any candidate or voter, or any person in whom a candidate or voter is interested, with injury of any kind, or
induces or attempts to induce a candidate or voter to believe that he or any person in whom he is interested will become or will be rendered an object of Divine displeasure or of spiritual censure, shall be deemed to interfere with the free exercise of the electoral right of such candidate or voter, within the meaning of sub-section (1).
A declaration of public policy or a promise of public action, or the mere exercise or a legal right without intent to interfere with an electoral right, shall not be deemed to be interference within the meaning of this section.


IPC 171C in Simple Words
Section 171C of the Indian Penal Code states that anyone who voluntarily interferes or attempts to interfere with someone's free exercise of their electoral right commits the offence of undue influence at an election, which includes threatening or inducing a candidate or voter in any way that affects their voting freedom.",,,,,,Section 171C,"Description of IPC Section 171C According to section 171C of Indian penal code, Whoever voluntarily interferes or attempts to interfere with the free exercise of any electoral right commits the offence of undue influence at an election. Without prejudice to the generality of the provisions of sub-section (1), whoever threatens any candidate or voter, or any person in whom a candidate or voter is interested, with injury of any kind, or induces or attempts to induce a candidate or voter to believe that he or any person in whom he is interested will become or will be rendered an object of Divine displeasure or of spiritual censure, shall be deemed to interfere with the free exercise of the electoral right of such candidate or voter, within the meaning of sub-section (1). A declaration of public policy or a promise of public action, or the mere exercise or a legal right without intent to interfere with an electoral right, shall not be deemed to be interference within the meaning of this section. IPC 171C in Simple Words Section 171C of the Indian Penal Code states that anyone who voluntarily interferes or attempts to interfere with someone's free exercise of their electoral right commits the offence of undue influence at an election, which includes threatening or inducing a candidate or voter in any way that affects their voting freedom.",description ipc section 171c according section 171c indian penal code whoever voluntarily interferes attempt interfere with free exercise electoral right commits offence undue influence election without prejudice generality provision sub section 1 whoever threatens candidate voter person candidate voter interested with injury kind induces attempt induce candidate voter believe person interested become rendered object divine displeasure spiritual censure shall deemed interfere with free exercise electoral right candidate voter within meaning sub section 1 declaration public policy promise public action mere exercise legal right without intent interfere with electoral right shall not deemed interference within meaning section ipc 171c simple word section 171c indian penal code state anyone voluntarily interferes attempt interfere with someone free exercise electoral right commits offence undue influence election includes threatening inducing candidate voter way affect voting freedom,,"To the esteemed officer in charge of the police station, Subject: Filing of FIR regarding the incident. Respected Sir/Madam, I, Arjun Kapoor, wish to lodge a formal complaint regarding an incident that occurred on 19-12-2023, between 4:15 and 7:15 AM, at my home. my neighbor Arjun Patel, wearing a green shirt and brown pants  perpetrated the offense. I have digital communications and CCTV footage as evidence. I request that appropriate legal action be taken against the accused."
https://lawrato.com/indian-kanoon/ipc/section-171D,"Description of IPC Section 171D
According to section 171D of Indian penal code, Whoever at an election applies for a voting paper on votes in the name of any other person, whether living or dead, or in a fictitious name, or who having voted once at such election applies at the same election for a voting paper in his own name, and whoever abets, procures or attempts to procure the voting by any person in any such way, commits the offence of personation at an election.


IPC 171D in Simple Words
Section 171D of the Indian Penal Code states that anyone who applies for a voting paper in someone else's name or uses a fictitious name to vote, or tries to vote more than once in the same election, and anyone who helps or encourages such actions, commits the offence of personation at an election.",,,,,,Section 171D,"Description of IPC Section 171D According to section 171D of Indian penal code, Whoever at an election applies for a voting paper on votes in the name of any other person, whether living or dead, or in a fictitious name, or who having voted once at such election applies at the same election for a voting paper in his own name, and whoever abets, procures or attempts to procure the voting by any person in any such way, commits the offence of personation at an election. IPC 171D in Simple Words Section 171D of the Indian Penal Code states that anyone who applies for a voting paper in someone else's name or uses a fictitious name to vote, or tries to vote more than once in the same election, and anyone who helps or encourages such actions, commits the offence of personation at an election.",description ipc section 171d according section 171d indian penal code whoever election applies voting paper vote name person whether living dead fictitious name voted election applies election voting paper name whoever abets procures attempt procure voting person way commits offence personation election ipc 171d simple word section 171d indian penal code state anyone applies voting paper someone else name us fictitious name vote try vote election anyone help encourages action commits offence personation election,,"To the esteemed officer in charge of the police station, Subject: Filing of FIR regarding the incident. Respected Sir/Madam, I, Kavita Joshi, wish to lodge a formal complaint regarding an incident that occurred on 30-11-2023, between 9:30 and 11:30 PM, at the taxi. my landlord Aditya Roy, wearing a black shirt and red pants  carried out the offense. I have medical reports as evidence. I seek justice and request that the accused be brought to book under relevant sections of law."
https://lawrato.com/indian-kanoon/ipc/section-171E,"Description of IPC Section 171E
According to section 171E of Indian penal code, Whoever commits the offence of bribery shall be punished with imprisonment of either description for a term which may extend to one year, or with fine, or with both;
Provided that bribery by treating shall be punished with fine only.


IPC 171E in Simple Words
If someone commits bribery, they can be punished with up to one year of imprisonment, a fine, or both, except for bribery by treating, which is punishable by a fine only.",Bribery,"1 Year or Fine or Both, or if treating only, fine only",Non-Cognizable,Bailable,Magistrate First Class,Section 171E,"Description of IPC Section 171E According to section 171E of Indian penal code, Whoever commits the offence of bribery shall be punished with imprisonment of either description for a term which may extend to one year, or with fine, or with both; Provided that bribery by treating shall be punished with fine only. IPC 171E in Simple Words If someone commits bribery, they can be punished with up to one year of imprisonment, a fine, or both, except for bribery by treating, which is punishable by a fine only.",description ipc section 171e according section 171e indian penal code whoever commits offence bribery shall punished with imprisonment either description term may extend one year with fine with provided bribery treating shall punished with fine ipc 171e simple word someone commits bribery punished with one year imprisonment fine except bribery treating punishable fine,bribery,"To the esteemed officer in charge of the police station, Subject: Filing of FIR regarding bribery. Respected Sir/Madam, I, Aanya Bose, wish to lodge a formal complaint regarding bribery that occurred on 14-04-2023, around 3:45 PM, at the complainant's residence. an unidentified woman  engaged in bribery. I have expert testimony and digital communications as evidence. I request a thorough investigation into this matter and appropriate legal proceedings."
https://lawrato.com/indian-kanoon/ipc/section-147,"Description of IPC Section 147
According to section 147 of Indian penal code, Whoever is guilty of rioting, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both.


IPC 147 in Simple Words
If someone is involved in rioting, they can be punished with up to two years in jail, a fine, or both.

Cited by
Osama Aziz vs The State Of Uttar Pradesh
Md Abdul Sufan Laskar and Ors vs State Of Assam
Gireesan Nair vs The State Of Kerala
Ravishwar Manjhi and Ors vs State Of Jharkhand
Mehtab Singh And Ors vs The State Of Madhya Pradesh",Rioting,2 Years or Fine or Both,Cognizable,Bailable,Any Magistrate,Section 147,"Description of IPC Section 147 According to section 147 of Indian penal code, Whoever is guilty of rioting, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both. IPC 147 in Simple Words If someone is involved in rioting, they can be punished with up to two years in jail, a fine, or both. Cited by Osama Aziz vs The State Of Uttar Pradesh Md Abdul Sufan Laskar and Ors vs State Of Assam Gireesan Nair vs The State Of Kerala Ravishwar Manjhi and Ors vs State Of Jharkhand Mehtab Singh And Ors vs The State Of Madhya Pradesh",description ipc section 147 according section 147 indian penal code whoever guilty rioting shall punished with imprisonment either description term may extend two year with fine with ipc 147 simple word someone involved rioting punished with two year jail fine cited osama aziz v state uttar pradesh md abdul sufan laskar or v state assam gireesan nair v state kerala ravishwar manjhi or v state jharkhand mehtab singh or v state madhya pradesh,rioting,"To the esteemed officer in charge of the police station, Subject: Filing of FIR regarding rioting. Respected Sir/Madam, I, Kiara Joshi, wish to lodge a formal complaint regarding rioting that occurred on 09-07-2023, around 3:45 PM, at my housing society near IT Park. my tenant Vikram Yadav, with a beard  perpetrated rioting. I have documentary proof and CCTV footage as evidence. I urge the authorities to register an FIR and take necessary action."
https://lawrato.com/indian-kanoon/ipc/section-171F,"Description of IPC Section 171F
According to section 171F of Indian penal code, Whoever commits the offence of undue influence or personation at an election shall be punished with imprisonment of either description for a term which may extend to one year or with fine, or with both.


IPC 171F in Simple Words
Section 171F of the Indian Penal Code states that anyone who engages in undue influence or personation at an election may be punished with imprisonment up to one year or fined, or both.",Undue influence at an election,1 Year or Fine or Both,Non-Cognizable,Bailable,Magistrate First Class,Section 171F,"Description of IPC Section 171F According to section 171F of Indian penal code, Whoever commits the offence of undue influence or personation at an election shall be punished with imprisonment of either description for a term which may extend to one year or with fine, or with both. IPC 171F in Simple Words Section 171F of the Indian Penal Code states that anyone who engages in undue influence or personation at an election may be punished with imprisonment up to one year or fined, or both.",description ipc section 171f according section 171f indian penal code whoever commits offence undue influence personation election shall punished with imprisonment either description term may extend one year with fine with ipc 171f simple word section 171f indian penal code state anyone engages undue influence personation election may punished with imprisonment one year fined,undue influence election,"To the esteemed officer in charge of the police station, Subject: Filing of FIR regarding undue influence at an election. Respected Sir/Madam, I, Ananya Patel, wish to lodge a formal complaint regarding undue influence at an election that occurred on 08-11-2024, at approximately 11:15 PM, at the warehouse in Vadodara. my landlord Sneha Khanna, carrying a sharp object  perpetrated undue influence at an election. I have documentary proof as evidence. I request a thorough investigation into this matter and appropriate legal proceedings."
https://lawrato.com/indian-kanoon/ipc/section-171G,"Description of IPC Section 171G
According to section 171G of Indian penal code, Whoever with intent to affect the result of an election makes or publishes any statement purporting to be a statement of fact which is false and which he either knows or believes to be false or does not believe to be true, in relation to the personal character or conduct of any candidate shall be punished with fine.


IPC 171G in Simple Words
Section 171G of the Indian Penal Code states that anyone who knowingly spreads false information about a candidate's personal character or conduct with the intention of influencing the election outcome may be fined.",False statement in connection with an election,Fine,Non-Cognizable,Bailable,Magistrate First Class,Section 171G,"Description of IPC Section 171G According to section 171G of Indian penal code, Whoever with intent to affect the result of an election makes or publishes any statement purporting to be a statement of fact which is false and which he either knows or believes to be false or does not believe to be true, in relation to the personal character or conduct of any candidate shall be punished with fine. IPC 171G in Simple Words Section 171G of the Indian Penal Code states that anyone who knowingly spreads false information about a candidate's personal character or conduct with the intention of influencing the election outcome may be fined.",description ipc section 171g according section 171g indian penal code whoever with intent affect result election make publishes statement purporting statement fact false either know belief false not believe true relation personal character conduct candidate shall punished with fine ipc 171g simple word section 171g indian penal code state anyone knowingly spread false information candidate personal character conduct with intention influencing election outcome may fined,false statement connection with election,"To the esteemed officer in charge of the police station, Subject: Filing of FIR regarding false statement in connection with an election. Respected Sir/Madam, I, Rahul Mehta, wish to lodge a formal complaint regarding false statement in connection with an election that occurred on 07-11-2023, in the morning, at the laboratory in Koramangala. my business associate Nikhil Nair, carrying a rod  perpetrated false statement in connection with an election. I have digital communications, CCTV footage and material evidence as evidence. I seek justice and request that the accused be brought to book under relevant sections of law."
https://lawrato.com/indian-kanoon/ipc/section-171H,"Description of IPC Section 171H
According to section 171H of Indian penal code, Whoever without the general or special authority in writing of a candidate incurs or authorizes expenses on account of the holding of any public meeting, or upon any advertisement, circular or publication, or in any other way whatsoever for the purpose of promoting or procuring the election of such candidate, shall be punished with fine which may extend to five hundred rupees;
Provided that if any person having incurred any such expenses not exceeding the amount of ten rupees without authority obtains within ten days from the date on which such expenses were incurred the approval in writing of the candidate, he shall be deemed to have incurred such expenses with the authority of the candidate.


IPC 171H in Simple Words
Section 171H of the Indian Penal Code states that anyone who spends money on public meetings, advertisements, or other activities to promote a candidate's election without the candidate's authorization may be fined up to five hundred rupees, but if the candidate approves the expenses within ten days, it will be considered authorized.",Illegal payments in connection with elections,Fine,Non-Cognizable,Bailable,Magistrate First Class,Section 171H,"Description of IPC Section 171H According to section 171H of Indian penal code, Whoever without the general or special authority in writing of a candidate incurs or authorizes expenses on account of the holding of any public meeting, or upon any advertisement, circular or publication, or in any other way whatsoever for the purpose of promoting or procuring the election of such candidate, shall be punished with fine which may extend to five hundred rupees; Provided that if any person having incurred any such expenses not exceeding the amount of ten rupees without authority obtains within ten days from the date on which such expenses were incurred the approval in writing of the candidate, he shall be deemed to have incurred such expenses with the authority of the candidate. IPC 171H in Simple Words Section 171H of the Indian Penal Code states that anyone who spends money on public meetings, advertisements, or other activities to promote a candidate's election without the candidate's authorization may be fined up to five hundred rupees, but if the candidate approves the expenses within ten days, it will be considered authorized.",description ipc section 171h according section 171h indian penal code whoever without general special authority writing candidate incurs authorizes expense account holding public meeting upon advertisement circular publication way whatsoever purpose promoting procuring election candidate shall punished with fine may extend five hundred rupee provided person incurred expense not exceeding amount ten rupee without authority obtains within ten day date expense incurred approval writing candidate shall deemed incurred expense with authority candidate ipc 171h simple word section 171h indian penal code state anyone spends money public meeting advertisement activity promote candidate election without candidate authorization may fined five hundred rupee candidate approves expense within ten day considered authorized,illegal payment connection with election,"To the esteemed officer in charge of the police station, Subject: Filing of FIR regarding illegal payments in connection with elections. Respected Sir/Madam, I, Krishna Joshi, wish to lodge a formal complaint regarding illegal payments in connection with elections that occurred on 09-11-2024, around 10:45 PM, at the classroom. my neighbor Nikhil Chopra, speaking in English  carried out illegal payments in connection with elections. I have call records, physical evidence and video recordings as evidence. I urge the authorities to register an FIR and take necessary action."
https://lawrato.com/indian-kanoon/ipc/section-171I,"Description of IPC Section 171I
According to section 171I of Indian penal code, Whoever being required by any law for the time being in force or any rule having the force of law to keep accounts of expenses incurred at or in connection with an election fails to keep such accounts shall be punished with fine which may extend to five hundred rupees.


IPC 171I in Simple Words
Section 171I of the Indian Penal Code states that if someone, who is obligated by law or rules to maintain accounts of election-related expenses, fails to do so, they can be fined up to five hundred rupees.",Failure to keep election accounts,Fine,Non-Cognizable,Bailable,Magistrate First Class,Section 171I,"Description of IPC Section 171I According to section 171I of Indian penal code, Whoever being required by any law for the time being in force or any rule having the force of law to keep accounts of expenses incurred at or in connection with an election fails to keep such accounts shall be punished with fine which may extend to five hundred rupees. IPC 171I in Simple Words Section 171I of the Indian Penal Code states that if someone, who is obligated by law or rules to maintain accounts of election-related expenses, fails to do so, they can be fined up to five hundred rupees.",description ipc section 171i according section 171i indian penal code whoever required law time force rule force law keep account expense incurred connection with election fails keep account shall punished with fine may extend five hundred rupee ipc 171i simple word section 171i indian penal code state someone obligated law rule maintain account election related expense fails fined five hundred rupee,failure keep election account,"To the esteemed officer in charge of the police station, Subject: Filing of FIR regarding failure to keep election accounts. Respected Sir/Madam, I, Vikram Nair, wish to lodge a formal complaint regarding failure to keep election accounts that occurred on 04-05-2023, late night, at the victim's house in Malviya Nagar. my landlord Rahul Das, with short hair  committed failure to keep election accounts. I have physical evidence as evidence. I urge the authorities to register an FIR and take necessary action."
https://lawrato.com/indian-kanoon/ipc/section-172,"Description of IPC Section 172
According to section 172 of Indian penal code, Whoever absconds in order to avoid being served with a summons, notice or order proceeding from any public servant legally competent, as such public servant, to issue such summons, notice or order, shall be punished with simple imprisonment for a term which may extend to one month, or with fine which may extend to five hundred rupees, or with both; or, if the summons or notice or order is to attend in person or by agent, or to produce a document in a Court of Justice, with simple imprisonment for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both.


IPC 172 in Simple Words
If someone runs away to avoid receiving a summons, notice, or order from a public servant, they can be punished with up to one month in jail, a fine of up to five hundred rupees, or both; and if the requirement is to appear in a Court of Justice or produce a document, the punishment can be up to six months in jail, a fine of up to one thousand rupees, or both.",Absconding to avoid service of summons or other proceeding from a public servant,Simple Imprisonment for 1 Month or Fine or Both,Non-Cognizable,Bailable,Any Magistrate,Section 172,"Description of IPC Section 172 According to section 172 of Indian penal code, Whoever absconds in order to avoid being served with a summons, notice or order proceeding from any public servant legally competent, as such public servant, to issue such summons, notice or order, shall be punished with simple imprisonment for a term which may extend to one month, or with fine which may extend to five hundred rupees, or with both; or, if the summons or notice or order is to attend in person or by agent, or to produce a document in a Court of Justice, with simple imprisonment for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both. IPC 172 in Simple Words If someone runs away to avoid receiving a summons, notice, or order from a public servant, they can be punished with up to one month in jail, a fine of up to five hundred rupees, or both; and if the requirement is to appear in a Court of Justice or produce a document, the punishment can be up to six months in jail, a fine of up to one thousand rupees, or both.",description ipc section 172 according section 172 indian penal code whoever absconds order avoid served with summons notice order proceeding public servant legally competent public servant issue summons notice order shall punished with simple imprisonment term may extend one month with fine may extend five hundred rupee with summons notice order attend person agent produce document court justice with simple imprisonment term may extend six month with fine may extend one thousand rupee with ipc 172 simple word someone run away avoid receiving summons notice order public servant punished with one month jail fine five hundred rupee requirement appear court justice produce document punishment six month jail fine one thousand rupee,absconding avoid service summons proceeding public servant,"To the esteemed officer in charge of the police station, Subject: Filing of FIR regarding absconding to avoid service of summons or other proceeding from a public servant. Respected Sir/Madam, I, Dhruv Pillai, wish to lodge a formal complaint regarding absconding to avoid service of summons or other proceeding from a public servant that occurred on 15-11-2024, between 6:15 and 8:15 PM, at the main road in Jaipur. a local resident named Krishna Das, carrying a gun  committed absconding to avoid service of summons or other proceeding from a public servant. I have call records as evidence. I urge the authorities to register an FIR and take necessary action."
https://lawrato.com/indian-kanoon/ipc/section-173,"Description of IPC Section 173
According to section 173 of Indian penal code, Whoever in any manner intentionally prevents the serving on himself, or on any other person, of any summons, notice or order proceeding from any public servant legally competent, such public servant, to issue such summons, notice or order,
or intentionally prevents the lawful affixing to any place of any such summons, notice or order,
or intentionally removes any such summons, notice or order from any place to which it is lawfully affixed,
or intentionally prevents the lawful making of any proclamation, under the authority of any public servant legally competent, as such public servant, to direct such proclamation to be made,
shall be punished with simple imprisonment for a term which may extend to one month, or with fine which may extend to five hundred rupees, or with both;
or, if the summons, notice, order or proclamation is to attend in person or by agent, or to produce a document in a Court of Justice, with simple imprisonment for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both.


IPC 173 in Simple Words
If someone intentionally hinders the delivery of a summons, notice, order, or proclamation from a public servant, they can be punished with up to one month in jail, a fine of up to five hundred rupees, or both; and if the requirement is to appear in a Court of Justice or produce a document, the punishment can be up to six months in jail, a fine of up to one thousand rupees, or both.","Preventing the service or The affixing of any summons of notice, or the removal of it when it has been affixed, or preventing a reclamation",Simple Imprisonment for 1 Month or Fine or Both,Non-Cognizable,Bailable,Any Magistrate,Section 173,"Description of IPC Section 173 According to section 173 of Indian penal code, Whoever in any manner intentionally prevents the serving on himself, or on any other person, of any summons, notice or order proceeding from any public servant legally competent, such public servant, to issue such summons, notice or order, or intentionally prevents the lawful affixing to any place of any such summons, notice or order, or intentionally removes any such summons, notice or order from any place to which it is lawfully affixed, or intentionally prevents the lawful making of any proclamation, under the authority of any public servant legally competent, as such public servant, to direct such proclamation to be made, shall be punished with simple imprisonment for a term which may extend to one month, or with fine which may extend to five hundred rupees, or with both; or, if the summons, notice, order or proclamation is to attend in person or by agent, or to produce a document in a Court of Justice, with simple imprisonment for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both. IPC 173 in Simple Words If someone intentionally hinders the delivery of a summons, notice, order, or proclamation from a public servant, they can be punished with up to one month in jail, a fine of up to five hundred rupees, or both; and if the requirement is to appear in a Court of Justice or produce a document, the punishment can be up to six months in jail, a fine of up to one thousand rupees, or both.",description ipc section 173 according section 173 indian penal code whoever manner intentionally prevents serving person summons notice order proceeding public servant legally competent public servant issue summons notice order intentionally prevents lawful affixing place summons notice order intentionally remove summons notice order place lawfully affixed intentionally prevents lawful making proclamation under authority public servant legally competent public servant direct proclamation made shall punished with simple imprisonment term may extend one month with fine may extend five hundred rupee with summons notice order proclamation attend person agent produce document court justice with simple imprisonment term may extend six month with fine may extend one thousand rupee with ipc 173 simple word someone intentionally hinders delivery summons notice order proclamation public servant punished with one month jail fine five hundred rupee requirement appear court justice produce document punishment six month jail fine one thousand rupee,preventing service affixing summons notice removal affixed preventing reclamation,"To the esteemed officer in charge of the police station, Subject: Filing of FIR regarding preventing the service or the affixing of any summons of notice, or the removal of it when it has been affixed, or preventing a reclamation. Respected Sir/Madam, I, Vikram Desai, wish to lodge a formal complaint regarding preventing the service or the affixing of any summons of notice, or the removal of it when it has been affixed, or preventing a reclamation that occurred on 29-08-2023, at approximately 2:15 PM, at the company premises in Visakhapatnam. my cousin named Meera Bose  carried out preventing the service or the affixing of any summons of notice, or the removal of it when it has been affixed, or preventing a reclamation. I have material evidence as evidence. I request that appropriate legal action be taken against the accused."
https://lawrato.com/indian-kanoon/ipc/section-174,"Description of IPC Section 174
According to section 174 of Indian penal code, Whoever, being legally bound to attend in person or by an agent at a certain place and time in obedience to a summons, notice, order, or proclamation proceeding from any public servant legally competent, as such public servant, to issue the same, intentionally omits to attend at that place or time, or departs from the place where he is bound to attend before the time at which it is lawful for him to depart, shall be punished with simple imprisonment for a term which may extend to one month, or with fine which may extend to five hundred rupees, or with both;
or, if the summons, notice, order or proclamation is to attend in person or by agent in a Court of Justice, with simple imprisonment for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both.


IPC 174 in Simple Words
If someone is legally required to appear at a certain place and time in response to a summons, notice, order, or proclamation from a public servant but intentionally fails to attend or leaves before the allowed time, they can be punished with up to one month in jail, a fine of up to five hundred rupees, or both; and if the requirement is to appear in a Court of Justice, the punishment can be up to six months in jail, a fine of up to one thousand rupees, or both.","Not obeying a legal order to attend at a certain place in person or by agent, or departing therefrom without authority",Simple Imprisonment for 1 Month or Fine or Both,Non-Cognizable,Bailable,Any Magistrate,Section 174,"Description of IPC Section 174 According to section 174 of Indian penal code, Whoever, being legally bound to attend in person or by an agent at a certain place and time in obedience to a summons, notice, order, or proclamation proceeding from any public servant legally competent, as such public servant, to issue the same, intentionally omits to attend at that place or time, or departs from the place where he is bound to attend before the time at which it is lawful for him to depart, shall be punished with simple imprisonment for a term which may extend to one month, or with fine which may extend to five hundred rupees, or with both; or, if the summons, notice, order or proclamation is to attend in person or by agent in a Court of Justice, with simple imprisonment for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both. IPC 174 in Simple Words If someone is legally required to appear at a certain place and time in response to a summons, notice, order, or proclamation from a public servant but intentionally fails to attend or leaves before the allowed time, they can be punished with up to one month in jail, a fine of up to five hundred rupees, or both; and if the requirement is to appear in a Court of Justice, the punishment can be up to six months in jail, a fine of up to one thousand rupees, or both.",description ipc section 174 according section 174 indian penal code whoever legally bound attend person agent certain place time obedience summons notice order proclamation proceeding public servant legally competent public servant issue intentionally omits attend place time departs place bound attend time lawful depart shall punished with simple imprisonment term may extend one month with fine may extend five hundred rupee with summons notice order proclamation attend person agent court justice with simple imprisonment term may extend six month with fine may extend one thousand rupee with ipc 174 simple word someone legally required appear certain place time response summons notice order proclamation public servant intentionally fails attend leaf allowed time punished with one month jail fine five hundred rupee requirement appear court justice punishment six month jail fine one thousand rupee,not obeying legal order attend certain place person agent departing therefrom without authority,"To the esteemed officer in charge of the police station, Subject: Filing of FIR regarding not obeying a legal order to attend at a certain place in person or by agent, or departing therefrom without authority. Respected Sir/Madam, I, Meera Chauhan, wish to lodge a formal complaint regarding not obeying a legal order to attend at a certain place in person or by agent, or departing therefrom without authority that occurred on 12-08-2024, early evening, at the shared cab in Banjara Hills. an unidentified man, with a mustache  engaged in not obeying a legal order to attend at a certain place in person or by agent, or departing therefrom without authority. I have recovered stolen items and digital communications as evidence. I request a thorough investigation into this matter and appropriate legal proceedings."
https://lawrato.com/indian-kanoon/ipc/section-174A,"Description of IPC Section 174A
According to section 174A of Indian penal code, Whoever fails to appear at the specified place and the specified time as required by a proclamation published under sub? section (1) of section 82 of the Code of Criminal Procedure, 1973, shall be punished with imprisonment for a term which may extend to three years or with fine or with both, and where a declaration has been made under sub? section (4) of that section pronouncing him as a proclaimed offender, he shall be punished with imprisonment for a term which may extend to seven years and shall also be liable to fine.


IPC 174A in Simple Words
If someone doesn't appear at the specified place and time as required by a proclamation published under section 82 of the Code of Criminal Procedure, they can be punished with up to three years of imprisonment, a fine, or both; if declared a proclaimed offender, the punishment can be up to seven years of imprisonment and a fine.",Failure to appear at specified place and specified time as required by a proclamation published under Sub-Section 1 of section 82 of this Code,3 Years or Fine or Both,Cognizable,Non-Bailable,Magistrate First Class,Section 174A,"Description of IPC Section 174A According to section 174A of Indian penal code, Whoever fails to appear at the specified place and the specified time as required by a proclamation published under sub? section (1) of section 82 of the Code of Criminal Procedure, 1973, shall be punished with imprisonment for a term which may extend to three years or with fine or with both, and where a declaration has been made under sub? section (4) of that section pronouncing him as a proclaimed offender, he shall be punished with imprisonment for a term which may extend to seven years and shall also be liable to fine. IPC 174A in Simple Words If someone doesn't appear at the specified place and time as required by a proclamation published under section 82 of the Code of Criminal Procedure, they can be punished with up to three years of imprisonment, a fine, or both; if declared a proclaimed offender, the punishment can be up to seven years of imprisonment and a fine.",description ipc section 174a according section 174a indian penal code whoever fails appear specified place specified time required proclamation published under sub section 1 section 82 code criminal procedure 1973 shall punished with imprisonment term may extend three year with fine with declaration made under sub section 4 section pronouncing proclaimed offender shall punished with imprisonment term may extend seven year shall also liable fine ipc 174a simple word someone appear specified place time required proclamation published under section 82 code criminal procedure punished with three year imprisonment fine declared proclaimed offender punishment seven year imprisonment fine,failure appear specified place specified time required proclamation published under sub section 1 section 82 code,"To the esteemed officer in charge of the police station, Subject: Filing of FIR regarding failure to appear at specified place and specified time as required by a proclamation published under sub-section 1 of section 82 of this code. Respected Sir/Madam, I, Pooja Sen, wish to lodge a formal complaint regarding failure to appear at specified place and specified time as required by a proclamation published under sub-section 1 of section 82 of this code that occurred on 04-12-2023, in the evening, at the shopping mall in Hyderabad. an unknown person, carrying a gun  perpetrated failure to appear at specified place and specified time as required by a proclamation published under sub-section 1 of section 82 of this code. I have video recordings as evidence. I urge the authorities to register an FIR and take necessary action."
https://lawrato.com/indian-kanoon/ipc/section-175,"Description of IPC Section 175
According to section 175 of Indian penal code, Whoever, being legally bound to produce or deliver up any document to any public servant, as such, intentionally omits so to produce or deliver up the same, shall be punished with simple imprisonment for a term which may extend to one month, or with fine which may extend to five hundred rupees, or with both;
or, if the document is to be produced or delivered up to a Court of Justice, with simple imprisonment for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both.


IPC 175 in Simple Words
If someone is legally required to show or hand over a document to a public servant but intentionally fails to do so, they can be punished with up to one month in jail, a fine of up to five hundred rupees, or both; and if the document should be given to a Court of Justice, the punishment can be up to six months in jail, a fine of up to one thousand rupees, or both.",Intentionally omitting to produce a document to a public servant by a person legally bound to produce deliver such document,Simple Imprisonment for 1 Month or Fine or Both,Non-Cognizable,Bailable,"Same As Offence, subject to Ch. XXVI, or if not committed in a Court, Any Magistrate",Section 175,"Description of IPC Section 175 According to section 175 of Indian penal code, Whoever, being legally bound to produce or deliver up any document to any public servant, as such, intentionally omits so to produce or deliver up the same, shall be punished with simple imprisonment for a term which may extend to one month, or with fine which may extend to five hundred rupees, or with both; or, if the document is to be produced or delivered up to a Court of Justice, with simple imprisonment for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both. IPC 175 in Simple Words If someone is legally required to show or hand over a document to a public servant but intentionally fails to do so, they can be punished with up to one month in jail, a fine of up to five hundred rupees, or both; and if the document should be given to a Court of Justice, the punishment can be up to six months in jail, a fine of up to one thousand rupees, or both.",description ipc section 175 according section 175 indian penal code whoever legally bound produce deliver document public servant intentionally omits produce deliver shall punished with simple imprisonment term may extend one month with fine may extend five hundred rupee with document produced delivered court justice with simple imprisonment term may extend six month with fine may extend one thousand rupee with ipc 175 simple word someone legally required show hand document public servant intentionally fails punished with one month jail fine five hundred rupee document given court justice punishment six month jail fine one thousand rupee,intentionally omitting produce document public servant person legally bound produce deliver document,"To the esteemed officer in charge of the police station, Subject: Filing of FIR regarding intentionally omitting to produce a document to a public servant by a person legally bound to produce deliver such document. Respected Sir/Madam, I, Sunita Bose, wish to lodge a formal complaint regarding intentionally omitting to produce a document to a public servant by a person legally bound to produce deliver such document that occurred on 27-07-2024, early morning, at the exhibition ground in Lucknow. an unknown person, speaking in Hindi  engaged in intentionally omitting to produce a document to a public servant by a person legally bound to produce deliver such document. I have eyewitness testimony, medical reports and transaction records as evidence. I request that appropriate legal action be taken against the accused."
