FIR_Complaint,Sections
I would like to report that sedition. The incident happened at train. This occurred around night. The accused is unknown. I have evidence in the form of medical reports.,"['Section 466', 'Section 192']"
I wish to file an FIR as maliciously insulting the religions or the religious beliefs of any class has taken place. The incident happened at home. This occurred around morning. The accused is unknown. I have evidence in the form of video recording.,"['Section 427', 'Section 375']"
I am filing this complaint regarding an incident where criminal breach of trust by a clerk or servant. The incident happened at workplace. This occurred around night. The accused is my neighbor. I have evidence in the form of physical evidence.,"['Section 199', 'Section 157']"
I would like to report that house-trespass in order to the commission of an offence punishable with death. The incident happened at bus. This occurred around night. The accused is a relative. I have evidence in the form of medical reports.,"['Section 167', 'Section 162']"
I would like to report that punishment for abetment of offences punishable under section 161 or section 165. The incident happened at home. This occurred around morning. The accused is known to me. I have evidence in the form of physical evidence.,"['Section 284', 'Section 448']"
"This is to report that on 21-11-2023, taking a gratification for the exercise of personal influence with a public servant occurred. The incident happened at public place. This occurred around night. The accused is a relative. I have evidence in the form of physical evidence.","['Section 439', 'Section 389']"
"On 04-10-2024, I witnessed/experienced dacoity. The incident happened at restaurant. This occurred around night. The accused is known to me. I have evidence in the form of medical reports.","['Section 213', 'Section 353']"
"This is to report that on 04-09-2023, personating a public servant occurred. The incident happened at public place. This occurred around morning. The accused is unknown. I have evidence in the form of documents.","['Section 232', 'Section 353']"
"I wish to file an FIR as knowingly stating to a public servant, on oath as true that which is false has taken place. The incident happened at train. This occurred around afternoon. The accused is unknown. I have evidence in the form of documents.","['Section 236', 'Section 396']"
I wish to file an FIR as same offence with concealment of the former marriage from the person with whom subsequent marriage is contracted has taken place. The incident happened at home. This occurred around afternoon. The accused is unknown. I have evidence in the form of witnesses.,"['Section 303', 'Section 478']"
"This is to report that on 22-10-2024, the incident described occurred. The incident happened at road. This occurred around afternoon. The accused is a colleague. I have evidence in the form of physical evidence.","['Section 380', 'Section 448']"
"I am filing this complaint regarding an incident where making or counterfeiting a seal, plate, etc., with intent to commit a forgery punishable otherwise than under section 467 of the indian penal code, or possessing with like intent any such seal plate, etc., knowing the same to be counterfeit. The incident happened at shop. This occurred around early morning. The accused is a colleague. I have evidence in the form of video recording.","['Section 338', 'Section 375']"
I wish to file an FIR as the incident described has taken place. The incident happened at shop. This occurred around early morning. The accused is a colleague. I have evidence in the form of photographs.,"['Section 281', 'Section 402']"
"This is to report that on 01-11-2023, abetment of suicide committed by child or insane or delirious person or an idiot, or a person intoxicated occurred. The incident happened at home. This occurred around evening. The accused is unknown. I have evidence in the form of photographs.","['Section 205', 'Section 450']"
I would like to report that the incident described. The incident happened at public place. This occurred around afternoon. The accused is a relative. I have evidence in the form of physical evidence.,"['Section 210', 'Section 199']"
I would like to report that robbery. The incident happened at restaurant. This occurred around early morning. The accused is unknown. I have evidence in the form of witnesses.,"['Section 146', 'Section 452']"
I wish to file an FIR as the incident described has taken place. The incident happened at shop. This occurred around evening. The accused is a stranger. I have evidence in the form of documents.,"['Section 381', 'Section 151']"
I would like to report that the incident described. The incident happened at road. This occurred around night. The accused is my neighbor. I have evidence in the form of physical evidence.,"['Section 130', 'Section 348']"
"On 06-11-2024, I witnessed/experienced assault or use of criminal force on grave and sudden provocation. The incident happened at market. This occurred around afternoon. The accused is a colleague. I have evidence in the form of medical reports.","['Section 407', 'Section 447']"
"This is to report that on 26-06-2024, mischief occurred. The incident happened at bus. This occurred around afternoon. The accused is my neighbor. I have evidence in the form of photographs.","['Section 328', 'Section 208']"
I would like to report that the incident described. The incident happened at workplace. This occurred around early morning. The accused is known to me. I have evidence in the form of photographs.,"['Section 448', 'Section 479']"
"This is to report that on 26-09-2023, theft by clerk or servant of property in possession of master or employer occurred. The incident happened at workplace. This occurred around morning. The accused is a relative. I have evidence in the form of witnesses.","['Section 274', 'Section 188']"
I would like to report that failure to appear at specified place and specified time as required by a proclamation published under sub-section 1 of section 82 of this code. The incident happened at market. This occurred around night. The accused is unknown. I have evidence in the form of physical evidence.,"['Section 140', 'Section 284']"
I am filing this complaint regarding an incident where trafficking of person. The incident happened at shop. This occurred around morning. The accused is a colleague. I have evidence in the form of physical evidence.,"['Section 452', 'Section 146']"
I am filing this complaint regarding an incident where the incident described. The incident happened at market. This occurred around early morning. The accused is my neighbor. I have evidence in the form of witnesses.,"['Section 283', 'Section 245']"
"This is to report that on 18-09-2024, taking a gratification in order, by corrupt or illegal means, to influence a public servant occurred. The incident happened at workplace. This occurred around evening. The accused is unknown. I have evidence in the form of photographs.","['Section 361', 'Section 348']"
"This is to report that on 16-05-2023, making use of any such false mark occurred. The incident happened at workplace. This occurred around morning. The accused is a colleague. I have evidence in the form of medical reports.","['Section 421', 'Section 358']"
"On 18-05-2024, I witnessed/experienced taking a gratification in order, by corrupt or illegal means, to influence a public servant. The incident happened at home. This occurred around early morning. The accused is a colleague. I have evidence in the form of witnesses.","['Section 450', 'Section 281']"
I wish to file an FIR as sale of counterfeit government stamp has taken place. The incident happened at public place. This occurred around morning. The accused is known to me. I have evidence in the form of medical reports.,"['Section 299', 'Section 258']"
"On 25-05-2023, I witnessed/experienced threatening any person to induce him to refrain from making a legal application for protection from injury. The incident happened at workplace. This occurred around early morning. The accused is known to me. I have evidence in the form of photographs.","['Section 202', 'Section 208']"
"This is to report that on 08-08-2023, unlawfully taking from a mint any coining instrument occurred. The incident happened at restaurant. This occurred around night. The accused is a relative. I have evidence in the form of medical reports.","['Section 129', 'Section 212']"
I am filing this complaint regarding an incident where refusing to sign statement made to a public servant when legally required to do so. The incident happened at public place. This occurred around afternoon. The accused is a stranger. I have evidence in the form of photographs.,"['Section 339', 'Section 450']"
I am filing this complaint regarding an incident where delivery of indian coin possessed with the knowledge that it is altered. The incident happened at road. This occurred around early morning. The accused is known to me. I have evidence in the form of documents.,"['Section 178', 'Section 169']"
I would like to report that the incident described. The incident happened at road. This occurred around early morning. The accused is known to me. I have evidence in the form of physical evidence.,"['Section 321', 'Section 330']"
"This is to report that on 10-11-2023, mischief committed after preparation made for causing death, or hurt, etc. occurred. The incident happened at road. This occurred around afternoon. The accused is a colleague. I have evidence in the form of medical reports.","['Section 190', 'Section 441']"
"On 10-04-2024, I witnessed/experienced fraudulently suffering a decree to pass for a sum not due, or suffering decree to be executed after it has been satisfied. The incident happened at train. This occurred around evening. The accused is my neighbor. I have evidence in the form of video recording.","['Section 326', 'Section 286']"
"This is to report that on 03-04-2023, abetment of act of insubordination by an officer, soldier, sailor or airman, if the offence be committed in consequence occurred. The incident happened at home. This occurred around night. The accused is a colleague. I have evidence in the form of video recording.","['Section 466', 'Section 440']"
I would like to report that concealment of birth by secret disposal of dead body. The incident happened at shop. This occurred around morning. The accused is my neighbor. I have evidence in the form of medical reports.,"['Section 345', 'Section 154']"
I would like to report that knowingly joining or continuing in any assembly of five or more persons after it has been commanded to disperse. The incident happened at bus. This occurred around early morning. The accused is a relative. I have evidence in the form of photographs.,"['Section 291', 'Section 173']"
"I wish to file an FIR as counterfeiting, or performing any part of the process of counterfeiting coin has taken place. The incident happened at home. This occurred around evening. The accused is a stranger. I have evidence in the form of medical reports.","['Section 210', 'Section 204']"
I wish to file an FIR as taking gift to help to recover movable property of which a person has been deprived by an offence without causing apprehension of offender has taken place. The incident happened at train. This occurred around night. The accused is a relative. I have evidence in the form of physical evidence.,"['Section 192', 'Section 290']"
"On 24-11-2024, I witnessed/experienced offencepunishment. The incident happened at road. This occurred around early morning. The accused is my neighbor. I have evidence in the form of photographs.","['Section 464', 'Section 463']"
"On 15-06-2023, I witnessed/experienced causing grievous hurt on grave and sudden provocation, not intending to hurt and other than the person who gave the provocation. The incident happened at market. This occurred around morning. The accused is a stranger. I have evidence in the form of video recording.","['Section 381', 'Section 169']"
"I wish to file an FIR as collecting arms, etc., with the intention of waging war against the government of india has taken place. The incident happened at home. This occurred around early morning. The accused is my neighbor. I have evidence in the form of witnesses.","['Section 500', 'Section 210']"
"This is to report that on 09-05-2024, mischief committed after preparation made for causing death, or hurt, etc. occurred. The incident happened at shop. This occurred around afternoon. The accused is a colleague. I have evidence in the form of video recording.","['Section 493', 'Section 478']"
I am filing this complaint regarding an incident where sexual harassment of the nature of unwelcome physical contact and advances or a demand or request for sexual favours or showing pornography. The incident happened at public place. This occurred around early morning. The accused is known to me. I have evidence in the form of documents.,"['Section 253', 'Section 205']"
"On 09-08-2023, I witnessed/experienced the incident described. The incident happened at bus. This occurred around evening. The accused is a relative. I have evidence in the form of medical reports.","['Section 497', 'Section 459']"
"This is to report that on 05-06-2023, the incident described occurred. The incident happened at shop. This occurred around evening. The accused is a relative. I have evidence in the form of medical reports.","['Section 271', 'Section 354']"
"This is to report that on 03-11-2024, possession of indian coin by a person who knew it to be counterfeit when he became possessed thereof occurred. The incident happened at shop. This occurred around morning. The accused is a stranger. I have evidence in the form of witnesses.","['Section 180', 'Section 247']"
"I am filing this complaint regarding an incident where causing danger, obstruction or, injury in any public way or line of navigation. The incident happened at restaurant. This occurred around early morning. The accused is my neighbor. I have evidence in the form of photographs.","['Section 203', 'Section 363']"
"On 11-07-2024, I witnessed/experienced the incident described. The incident happened at workplace. This occurred around evening. The accused is unknown. I have evidence in the form of documents.","['Section 174', 'Section 210']"
"On 06-01-2024, I witnessed/experienced sexual harassment of the nature of unwelcome physical contact and advances or a demand or request for sexual favours or showing pornography. The incident happened at restaurant. This occurred around afternoon. The accused is known to me. I have evidence in the form of medical reports.","['Section 468', 'Section 470']"
I wish to file an FIR as attempt to commit suicide has taken place. The incident happened at road. This occurred around morning. The accused is a stranger. I have evidence in the form of physical evidence.,"['Section 368', 'Section 300']"
"This is to report that on 14-04-2023, the incident described occurred. The incident happened at road. This occurred around morning. The accused is unknown. I have evidence in the form of witnesses.","['Section 239', 'Section 322']"
"On 15-12-2024, I witnessed/experienced making or possessing machinery, instrument or material for forging or counterfeiting currency-notes or bank-notes. The incident happened at bus. This occurred around early morning. The accused is unknown. I have evidence in the form of video recording.","['Section 158', 'Section 473']"
"I would like to report that collecting arms, etc., with the intention of waging war against the government of india. The incident happened at market. This occurred around afternoon. The accused is unknown. I have evidence in the form of photographs.","['Section 289', 'Section 245']"
"On 06-02-2025, I witnessed/experienced causing a disturbance to an assembly engaged in religious worship. The incident happened at public place. This occurred around morning. The accused is my neighbor. I have evidence in the form of medical reports.","['Section 500', 'Section 477']"
"This is to report that on 15-10-2023, harbouring persons hired for an unlawful assembly occurred. The incident happened at workplace. This occurred around afternoon. The accused is unknown. I have evidence in the form of photographs.","['Section 313', 'Section 303']"
"On 08-12-2024, I witnessed/experienced dishonestly receiving stolen property knowing it to be stolen. The incident happened at road. This occurred around afternoon. The accused is a stranger. I have evidence in the form of physical evidence.","['Section 354', 'Section 167']"
I am filing this complaint regarding an incident where house-trespass in order to the commission of an offence punishable with imprisonment for life. The incident happened at market. This occurred around evening. The accused is known to me. I have evidence in the form of physical evidence.,"['Section 416', 'Section 355']"
I wish to file an FIR as criminal breach of trust has taken place. The incident happened at restaurant. This occurred around night. The accused is my neighbor. I have evidence in the form of witnesses.,"['Section 410', 'Section 335']"
I am filing this complaint regarding an incident where receiving property taken by war or depredation mentioned in sections 125 and 126. The incident happened at shop. This occurred around night. The accused is a stranger. I have evidence in the form of witnesses.,"['Section 213', 'Section 175']"
"I would like to report that mischief by fire or explosive substance with intent to cause damage to an amount of 100 rupees or upwards, or, in case of agricultural produce, 10 rupees or upwards. The incident happened at workplace. This occurred around night. The accused is unknown. I have evidence in the form of physical evidence.","['Section 475', 'Section 313']"
"This is to report that on 20-03-2025, putting or attempting to put in fear of injury, in order to commit extortion occurred. The incident happened at market. This occurred around night. The accused is my neighbor. I have evidence in the form of video recording.","['Section 386', 'Section 503']"
I wish to file an FIR as the incident described has taken place. The incident happened at home. This occurred around evening. The accused is a stranger. I have evidence in the form of photographs.,"['Section 493', 'Section 210']"
I wish to file an FIR as a person omitting to guard against probable danger to human life by the fall of any building over which he has a right entitling him to pull it down or repair it has taken place. The incident happened at bus. This occurred around early morning. The accused is my neighbor. I have evidence in the form of medical reports.,"['Section 317', 'Section 338']"
I wish to file an FIR as the incident described has taken place. The incident happened at public place. This occurred around night. The accused is unknown. I have evidence in the form of witnesses.,"['Section 294', 'Section 350']"
"On 21-02-2024, I witnessed/experienced dishonestly receiving stolen property, knowing that it was obtained by dacoity. The incident happened at restaurant. This occurred around evening. The accused is my neighbor. I have evidence in the form of photographs.","['Section 167', 'Section 349']"
"On 06-11-2023, I witnessed/experienced knowingly disobeying any quarantine rule. The incident happened at shop. This occurred around morning. The accused is a relative. I have evidence in the form of physical evidence.","['Section 405', 'Section 479']"
"I wish to file an FIR as public servant disobeying a direction of law with intent to save person from punishment, or property from forfeiture has taken place. The incident happened at shop. This occurred around morning. The accused is my neighbor. I have evidence in the form of photographs.","['Section 481', 'Section 168']"
"On 25-11-2023, I witnessed/experienced exploitation of a trafficked child. The incident happened at road. This occurred around night. The accused is a stranger. I have evidence in the form of witnesses.","['Section 390', 'Section 260']"
"This is to report that on 25-03-2024, wrongful confinement for the purpose of extorting property, or constraining to an illegal act, etc. occurred. The incident happened at road. This occurred around night. The accused is unknown. I have evidence in the form of video recording.","['Section 128', 'Section 273']"
"On 15-10-2023, I witnessed/experienced selling or letting to hire a minor for purposes of prostitution, etc.. The incident happened at home. This occurred around early morning. The accused is a stranger. I have evidence in the form of physical evidence.","['Section 390', 'Section 496']"
"This is to report that on 29-03-2023, causing death of a quick unborn child by an act amounting to culpable homicide occurred. The incident happened at public place. This occurred around night. The accused is a relative. I have evidence in the form of medical reports.","['Section 349', 'Section 155']"
I am filing this complaint regarding an incident where using in a judicial proceeding evidence known to be false or fabricated. The incident happened at public place. This occurred around afternoon. The accused is known to me. I have evidence in the form of physical evidence.,"['Section 272', 'Section 138']"
"On 24-11-2024, I witnessed/experienced giving false information respecting an offence committed. The incident happened at workplace. This occurred around early morning. The accused is a colleague. I have evidence in the form of medical reports.","['Section 455', 'Section 207']"
"I am filing this complaint regarding an incident where harbouring such an officer, soldier, sailor or airman who has deserted. The incident happened at market. This occurred around afternoon. The accused is a stranger. I have evidence in the form of video recording.","['Section 443', 'Section 509']"
"I wish to file an FIR as culpable homicide not amounting to murder, if act by which the death is caused is done with intention of causing death, etc. has taken place. The incident happened at bus. This occurred around early morning. The accused is a stranger. I have evidence in the form of video recording.","['Section 288', 'Section 306']"
I wish to file an FIR as making use of any such false mark has taken place. The incident happened at train. This occurred around night. The accused is a stranger. I have evidence in the form of witnesses.,"['Section 162', 'Section 311']"
"I wish to file an FIR as assaulting or obstructing public servant when suppressing riot, etc. has taken place. The incident happened at restaurant. This occurred around afternoon. The accused is a relative. I have evidence in the form of physical evidence.","['Section 245', 'Section 259']"
"I wish to file an FIR as sale, etc., of obscene books, etc. has taken place. The incident happened at bus. This occurred around early morning. The accused is known to me. I have evidence in the form of video recording.","['Section 472', 'Section 387']"
"On 19-06-2024, I witnessed/experienced voluntarily throwing or attempting to throw acid. The incident happened at home. This occurred around afternoon. The accused is unknown. I have evidence in the form of video recording.","['Section 236', 'Section 152']"
I am filing this complaint regarding an incident where the incident described. The incident happened at shop. This occurred around morning. The accused is my neighbor. I have evidence in the form of photographs.,"['Section 371', 'Section 239']"
I wish to file an FIR as fraudulent use of false instrument for weighing has taken place. The incident happened at home. This occurred around morning. The accused is a relative. I have evidence in the form of witnesses.,"['Section 346', 'Section 498']"
I wish to file an FIR as failure to keep election accounts has taken place. The incident happened at shop. This occurred around afternoon. The accused is a colleague. I have evidence in the form of video recording.,"['Section 239', 'Section 440']"
"I would like to report that extortion by threat of accusation of an offence punishable with death, imprisonment for life, or imprisonment for 10 years.. The incident happened at train. This occurred around morning. The accused is a colleague. I have evidence in the form of video recording.","['Section 376', 'Section 334']"
"I am filing this complaint regarding an incident where theft in a building, tent or vessel. The incident happened at home. This occurred around evening. The accused is known to me. I have evidence in the form of medical reports.","['Section 157', 'Section 156']"
"This is to report that on 05-07-2024, fraudulently marking a false mark upon any package or receptacle containing goods, with intent to cause it to be believed that it contains goods which it does not contain, etc. occurred. The incident happened at road. This occurred around evening. The accused is a stranger. I have evidence in the form of photographs.","['Section 123', 'Section 226']"
"I am filing this complaint regarding an incident where counterfeiting a property mark used by another, with intent to cause damage or injury. The incident happened at public place. This occurred around early morning. The accused is my neighbor. I have evidence in the form of video recording.","['Section 507', 'Section 464']"
"I would like to report that omission to apprehend, or sufferance of escape on part of public servant, in cases not otherwise provided for, in case of intentional omission or sufferance. The incident happened at market. This occurred around morning. The accused is a stranger. I have evidence in the form of photographs.","['Section 461', 'Section 213']"
I am filing this complaint regarding an incident where voluntarily causing grievous hurt by dangerous weapons or means. The incident happened at market. This occurred around morning. The accused is a stranger. I have evidence in the form of documents.,"['Section 268', 'Section 140']"
I wish to file an FIR as concealing with intent to facilitate a design to wage war has taken place. The incident happened at road. This occurred around morning. The accused is my neighbor. I have evidence in the form of witnesses.,"['Section 500', 'Section 124']"
I would like to report that voluntarily causing hurt to deter public servant from his duty. The incident happened at bus. This occurred around early morning. The accused is a relative. I have evidence in the form of physical evidence.,"['Section 482', 'Section 330']"
I wish to file an FIR as conspiring to commit certain offences against the state has taken place. The incident happened at shop. This occurred around night. The accused is a stranger. I have evidence in the form of documents.,"['Section 211', 'Section 345']"
"I am filing this complaint regarding an incident where mischief by fire or explosive substance with intent to cause damage to an amount of 100 rupees or upwards, or, in case of agricultural produce, 10 rupees or upwards. The incident happened at train. This occurred around afternoon. The accused is a relative. I have evidence in the form of medical reports.","['Section 473', 'Section 131']"
"On 30-01-2024, I witnessed/experienced making or using documents resembling currency-notes or bank-notes. The incident happened at public place. This occurred around afternoon. The accused is known to me. I have evidence in the form of photographs.","['Section 441', 'Section 391']"
"I am filing this complaint regarding an incident where counterfeiting a device or mark used for authenticating documents other than those described in section 467 of the indian penal code, or possessing counterfeit marked material. The incident happened at workplace. This occurred around morning. The accused is a stranger. I have evidence in the form of documents.","['Section 487', 'Section 410']"
"On 01-11-2024, I witnessed/experienced theft, after preparation having been made for causing death, or hurt, or restraint or fear of death, or of hurt or of restraint, in order to the committing of such theft, or to retiring after committing it, or to retaining property taken by it. The incident happened at workplace. This occurred around early morning. The accused is a colleague. I have evidence in the form of photographs.","['Section 410', 'Section 156']"
"On 24-02-2025, I witnessed/experienced robber or dacoity, with attempt to cause death or grievous hurt. The incident happened at home. This occurred around night. The accused is a colleague. I have evidence in the form of witnesses.","['Section 266', 'Section 301']"
"This is to report that on 29-10-2024, being in possession of false weights or measures for fraudulent use occurred. The incident happened at market. This occurred around early morning. The accused is my neighbor. I have evidence in the form of witnesses.","['Section 280', 'Section 288']"
"On 02-06-2023, I witnessed/experienced the incident described. The incident happened at bus. This occurred around evening. The accused is unknown. I have evidence in the form of witnesses.","['Section 447', 'Section 234']"
"This is to report that on 03-04-2023, being or expecting to be a public servant, and taking a gratification other than legal remuneration in respect of an official act occurred. The incident happened at public place. This occurred around afternoon. The accused is unknown. I have evidence in the form of video recording.","['Section 356', 'Section 130']"
I would like to report that knowingly selling or issuing from a dispensary any drug or medical preparation as a different drug or medical preparation. The incident happened at public place. This occurred around night. The accused is my neighbor. I have evidence in the form of photographs.,"['Section 221', 'Section 130']"
"I am filing this complaint regarding an incident where taking a gratification in order, by corrupt or illegal means, to influence a public servant. The incident happened at train. This occurred around early morning. The accused is a stranger. I have evidence in the form of photographs.","['Section 419', 'Section 498']"
"On 06-09-2023, I witnessed/experienced theft. The incident happened at workplace. This occurred around afternoon. The accused is a relative. I have evidence in the form of documents.","['Section 474', 'Section 137']"
"I am filing this complaint regarding an incident where making, buying or selling instrument for the purpose of counterfeiting coin. The incident happened at public place. This occurred around night. The accused is a stranger. I have evidence in the form of photographs.","['Section 447', 'Section 414']"
